building_type,floor_area,UA,CM,CA,UM,UI
RetailStripmall,761.4,1055,2.599e+08,2521,527.4,527.4
MidriseApartment,440,1364,3.171e+07,1224,682,682
MidriseApartment,221.3,638.6,1.522e+07,732.8,319.3,319.3
MidriseApartment,198.9,627.3,1.489e+07,658.7,313.6,313.6
MidriseApartment,660.4,2076,4.964e+07,2332,1038,1038
MidriseApartment,191.9,611.1,1.45e+07,635.5,305.6,305.6
MidriseApartment,351.1,1254,3.007e+07,1331,626.9,626.9
MidriseApartment,257,723.9,1.727e+07,851,361.9,361.9
MidriseApartment,460.1,1493,3.619e+07,1869,746.7,746.7
MidriseApartment,133.1,481.8,1.137e+07,440.9,240.9,240.9
MidriseApartment,294.1,929.2,2.274e+07,1309,464.6,464.6
MidriseApartment,373,698.4,2.674e+07,992,349.2,349.2
MidriseApartment,464.5,1498,3.533e+07,1469,748.9,748.9
RetailStandalone,798.5,1527,2.841e+08,4557,763.7,763.7
MidriseApartment,144.9,299.8,1.223e+07,479.7,149.9,149.9
Warehouse,3915,8563,1.257e+09,4.12e+04,4282,4282
MidriseApartment,136.3,474.3,1.121e+07,451.5,237.1,237.1
MidriseApartment,377.3,624.7,2.49e+07,1249,312.3,312.3
SmallHotel,623.2,5071,1.726e+08,2251,2535,2535
