timestamp,air_temperature[degF],system_mode
2020-01-04 06:52:25 PST,+68.9987,HEAT
2020-01-04 06:56:59 PST,+71.0005,OFF
2020-01-04 07:00:00 PST,+70.0329,OFF
2020-01-04 07:05:42 PST,+68.9989,HEAT
2020-01-04 07:10:47 PST,+71.0039,OFF
2020-01-04 07:19:26 PST,+68.9996,HEAT
2020-01-04 07:24:29 PST,+71.0004,OFF
2020-01-04 07:33:10 PST,+68.9995,HEAT
2020-01-04 07:38:13 PST,+71.003,OFF
2020-01-04 07:46:56 PST,+68.9995,HEAT
2020-01-04 07:51:58 PST,+71.0001,OFF
2020-01-04 08:00:00 PST,+69.0844,OFF
2020-01-04 08:00:57 PST,+68.9994,HEAT
2020-01-04 08:05:09 PST,+71.0007,OFF
2020-01-04 08:15:43 PST,+68.9997,HEAT
2020-01-04 08:19:56 PST,+71.0036,OFF
2020-01-04 08:30:28 PST,+68.9996,HEAT
2020-01-04 08:34:41 PST,+71.002,OFF
2020-01-04 08:45:11 PST,+68.9999,HEAT
2020-01-04 08:49:24 PST,+71.0014,OFF
2020-01-04 08:59:54 PST,+68.9987,HEAT
2020-01-04 09:00:00 PST,+69.0625,HEAT
2020-01-04 09:01:54 PST,+70.2604,HEAT
2020-01-04 09:03:25 PST,+71.0026,OFF
2020-01-04 09:20:54 PST,+68.9998,HEAT
2020-01-04 09:24:24 PST,+71.0005,OFF
2020-01-04 09:41:49 PST,+68.9998,HEAT
2020-01-04 09:45:19 PST,+71.0002,OFF
2020-01-04 10:00:00 PST,+69.1055,OFF
2020-01-04 10:05:03 PST,+68.9999,HEAT
2020-01-04 10:08:22 PST,+71.0036,OFF
2020-01-04 10:32:17 PST,+68.9999,HEAT
2020-01-04 10:35:36 PST,+71.0002,OFF
2020-01-04 10:59:11 PST,+68.9998,HEAT
2020-01-04 11:00:00 PST,+69.5875,HEAT
2020-01-04 11:01:11 PST,+70.3397,HEAT
2020-01-04 11:02:26 PST,+71.0063,OFF
2020-01-04 11:44:42 PST,+69,HEAT
2020-01-04 11:47:58 PST,+71.007,OFF
2020-01-04 12:00:00 PST,+69.4641,OFF
2020-01-04 13:00:00 PST,+69.4355,OFF
2020-01-04 14:00:00 PST,+69.4908,OFF
2020-01-04 15:00:00 PST,+69.6593,OFF
2020-01-04 15:56:02 PST,+69,HEAT
2020-01-04 15:59:08 PST,+71.0039,OFF
2020-01-04 16:00:00 PST,+70.7611,OFF
2020-01-04 16:01:08 PST,+70.4917,OFF
2020-01-04 16:34:22 PST,+68.9998,HEAT
2020-01-04 16:37:25 PST,+71.0073,OFF
2020-01-04 17:00:00 PST,+69.1642,OFF
2020-01-04 17:02:53 PST,+68.9994,HEAT
2020-01-04 17:06:13 PST,+71.0026,OFF
2020-01-04 17:20:20 PST,+68.9997,HEAT
2020-01-04 17:23:41 PST,+71.0069,OFF
2020-01-04 17:37:43 PST,+68.9991,HEAT
2020-01-04 17:41:04 PST,+71.0051,OFF
2020-01-04 17:55:02 PST,+68.9996,HEAT
2020-01-04 17:58:23 PST,+71.0048,OFF
2020-01-04 18:00:00 PST,+70.507,OFF
2020-01-04 18:00:23 PST,+70.4074,OFF
2020-01-04 18:12:19 PST,+68.9996,HEAT
2020-01-04 18:15:40 PST,+71.0043,OFF
