t,z
3776.0,0.7594239495585186
3777.0,0.759116407381261
3778.0,0.7588088652040034
3779.0,0.7585013230267459
3780.0,0.7581937808494883
3781.0,0.7578862386722308
3782.0,0.7575786964949732
3783.0,0.7572711543177156
3784.0,0.756963612140458
3785.0,0.7566560699632005
3786.0,0.756348527785943
3787.0,0.7560409856086854
3788.0,0.7557334434314278
3789.0,0.7554259012541702
3790.0,0.7551183590769126
3791.0,0.7548108168996551
3792.0,0.7545032747223976
3793.0,0.75419573254514
3794.0,0.7538881903678825
3795.0,0.7535806481906249
3796.0,0.7532731060133673
3797.0,0.7529655638361097
3798.0,0.7526580216588522
3799.0,0.7523504794815946
3800.0,0.752042937304337
3801.0,0.7517353951270794
3802.0,0.7514278529498218
3803.0,0.7511203107725644
3804.0,0.7508127685953068
3805.0,0.7505052264180492
3806.0,0.7501976842407918
3807.0,0.7496704261906023
3808.0,0.7487477996588296
3809.0,0.747825173127057
3810.0,0.7469025465952843
3811.0,0.7459799200635115
3812.0,0.7450572935317389
3813.0,0.7441346669999662
3814.0,0.7432120404681937
3815.0,0.7422894139364209
3816.0,0.7413667874046481
3817.0,0.7404441608728755
3818.0,0.7395215343411027
3819.0,0.7385989078093301
3820.0,0.7376762812775575
3821.0,0.7367536547457847
3822.0,0.7358310282140119
3823.0,0.7349084016822394
3824.0,0.7339857751504667
3825.0,0.733063148618694
3826.0,0.7321405220869213
3827.0,0.7312178955551486
3828.0,0.7302952690233759
3829.0,0.7293726424916033
3830.0,0.7284500159598305
3831.0,0.7275273894280578
3832.0,0.7266047628962852
3833.0,0.7256821363645125
3834.0,0.7247595098327397
3835.0,0.7238368833009671
3836.0,0.7229142567691944
3837.0,0.7219916302374217
3838.0,0.721069003705649
3839.0,0.7201463771738763
3840.0,0.7197412502140346
3841.0,0.719433708036777
3842.0,0.7191261658595194
3843.0,0.7188186236822618
3844.0,0.7185110815050043
3845.0,0.7182035393277468
3846.0,0.7178959971504892
3847.0,0.7175884549732316
3848.0,0.7172809127959741
3849.0,0.7169733706187165
3850.0,0.716665828441459
3851.0,0.7163582862642014
3852.0,0.7160507440869438
3853.0,0.7157432019096862
3854.0,0.7154356597324286
3855.0,0.7151281175551711
3856.0,0.7148205753779135
3857.0,0.7145130332006561
3858.0,0.7142054910233985
3859.0,0.7138979488461409
3860.0,0.7135904066688833
3861.0,0.7132828644916257
3862.0,0.7129753223143682
3863.0,0.7126677801371106
3864.0,0.712360237959853
3865.0,0.7120526957825954
3866.0,0.7117451536053379
3867.0,0.7114376114280804
3868.0,0.7111300692508228
3869.0,0.7108225270735653
3870.0,0.7105149848963077
3871.0,0.7102074427190501
3872.0,0.7103002983746224
3873.0,0.711222924906395
3874.0,0.7121455514381677
3875.0,0.7130681779699404
3876.0,0.7139908045017131
3877.0,0.7149134310334858
3878.0,0.7158360575652585
3879.0,0.7167586840970311
3880.0,0.7176813106288039
3881.0,0.7186039371605766
3882.0,0.7195265636923492
3883.0,0.7204491902241219
3884.0,0.7213718167558947
3885.0,0.7222944432876673
3886.0,0.72321706981944
3887.0,0.7241396963512126
3888.0,0.7250623228829853
3889.0,0.7259849494147581
3890.0,0.7269075759465308
3891.0,0.7278302024783033
3892.0,0.7287528290100761
3893.0,0.7296754555418488
3894.0,0.7305980820736215
3895.0,0.7315207086053943
3896.0,0.7324433351371669
3897.0,0.7333659616689395
3898.0,0.7342885882007122
3899.0,0.735211214732485
3900.0,0.7361338412642576
3901.0,0.7370564677960303
3902.0,0.737979094327803
3903.0,0.7389017208595757
3904.0,0.7398243473913484
3905.0,0.740248991307707
3906.0,0.7405565334849646
3907.0,0.7408640756622222
3908.0,0.7411716178394798
3909.0,0.7414791600167372
3910.0,0.7417867021939948
3911.0,0.7420942443712524
3912.0,0.74240178654851
3913.0,0.7427093287257674
3914.0,0.743016870903025
3915.0,0.7433244130802826
3916.0,0.7436319552575402
3917.0,0.7439394974347978
3918.0,0.7442470396120553
3919.0,0.7445545817893129
3920.0,0.7448621239665705
3921.0,0.7451696661438281
3922.0,0.7454772083210855
3923.0,0.7457847504983431
3924.0,0.7460922926756007
3925.0,0.7463998348528582
3926.0,0.7467073770301158
3927.0,0.7470149192073734
3928.0,0.747322461384631
3929.0,0.7476300035618886
3930.0,0.7479375457391461
3931.0,0.7482450879164037
3932.0,0.7485526300936612
3933.0,0.7488601722709188
3934.0,0.7491677144481764
3935.0,0.7494752566254339
3936.0,0.7497827988026915
3937.0,0.7504517048997451
3938.0,0.751989415786033
3939.0,0.7535271266723209
3940.0,0.7550648375586085
3941.0,0.7566025484448964
3942.0,0.7581402593311841
3943.0,0.759677970217472
3944.0,0.7612156811037598
3945.0,0.7627533919900477
3946.0,0.7642911028763355
3947.0,0.7658288137626232
3948.0,0.7673665246489111
3949.0,0.7689042355351989
3950.0,0.7704419464214867
3951.0,0.7719796573077746
3952.0,0.7735173681940622
3953.0,0.7750550790803501
3954.0,0.776592789966638
3955.0,0.7781305008529257
3956.0,0.7796682117392135
3957.0,0.7812059226255015
3958.0,0.7827436335117892
3959.0,0.7842813443980771
3960.0,0.7858190552843648
3961.0,0.7873567661706526
3962.0,0.7888944770569405
3963.0,0.7904321879432283
3964.0,0.7919698988295162
3965.0,0.7935076097158038
3966.0,0.7950453206020918
3967.0,0.7965830314883796
3968.0,0.7981207423746672
3969.0,0.7996584532609552
3970.0,0.8009569313177944
3971.0,0.8021871000268245
3972.0,0.8034172687358548
3973.0,0.8046474374448852
3974.0,0.8058776061539155
3975.0,0.8071077748629456
3976.0,0.808337943571976
3977.0,0.8095681122810061
3978.0,0.8107982809900364
3979.0,0.8120284496990667
3980.0,0.8132586184080969
3981.0,0.8144887871171271
3982.0,0.8157189558261575
3983.0,0.8169491245351876
3984.0,0.818179293244218
3985.0,0.8194094619532482
3986.0,0.8206396306622784
3987.0,0.8218697993713088
3988.0,0.8230999680803389
3989.0,0.8243301367893692
3990.0,0.8255603054983995
3991.0,0.8267904742074297
3992.0,0.8280206429164598
3993.0,0.8292508116254902
3994.0,0.8304809803345204
3995.0,0.8317111490435506
3996.0,0.832941317752581
3997.0,0.8341714864616112
3998.0,0.8354016551706414
3999.0,0.8366318238796717
4000.0,0.8378619925887019
4001.0,0.8390921612977322
4002.0,0.8400805825016906
4003.0,0.8403881246789482
4004.0,0.8406956668562057
4005.0,0.8410032090334634
4006.0,0.8413107512107209
4007.0,0.8416182933879786
4008.0,0.841925835565236
4009.0,0.8422333777424935
4010.0,0.8425409199197512
4011.0,0.8428484620970087
4012.0,0.8431560042742662
4013.0,0.8434635464515237
4014.0,0.8437710886287814
4015.0,0.8440786308060388
4016.0,0.8443861729832964
4017.0,0.844693715160554
4018.0,0.8450012573378116
4019.0,0.8453087995150692
4020.0,0.8456163416923268
4021.0,0.8459238838695843
4022.0,0.846231426046842
4023.0,0.8465389682240995
4024.0,0.8468465104013569
4025.0,0.8471540525786144
4026.0,0.8474615947558721
4027.0,0.8477691369331296
4028.0,0.8480766791103871
4029.0,0.8483842212876448
4030.0,0.8486917634649023
4031.0,0.84899930564216
4032.0,0.8493068478194175
4033.0,0.849614389996675
4034.0,0.8499219321739326
4035.0,0.8497705256488098
4036.0,0.8494629834715521
4037.0,0.8491554412942948
4038.0,0.8488478991170372
4039.0,0.8485403569397796
4040.0,0.8482328147625221
4041.0,0.8479252725852644
4042.0,0.8476177304080069
4043.0,0.8473101882307492
4044.0,0.8470026460534917
4045.0,0.8466951038762343
4046.0,0.8463875616989766
4047.0,0.8460800195217191
4048.0,0.8457724773444614
4049.0,0.8454649351672039
4050.0,0.8451573929899464
4051.0,0.8448498508126889
4052.0,0.8445423086354313
4053.0,0.8442347664581737
4054.0,0.8439272242809162
4055.0,0.8436196821036586
4056.0,0.843312139926401
4057.0,0.8430045977491435
4058.0,0.8426970555718858
4059.0,0.8423895133946283
4060.0,0.8420819712173706
4061.0,0.8417744290401131
4062.0,0.8414668868628556
4063.0,0.8411593446855979
4064.0,0.8408518025083405
4065.0,0.840544260331083
4066.0,0.8402367181538255
4067.0,0.8393625837891102
4068.0,0.8365947041937922
4069.0,0.8338268245984741
4070.0,0.831058945003156
4071.0,0.828291065407838
4072.0,0.8255231858125199
4073.0,0.8227553062172017
4074.0,0.8199874266218838
4075.0,0.8172195470265657
4076.0,0.8144516674312477
4077.0,0.8116837878359295
4078.0,0.8089159082406117
4079.0,0.8061480286452936
4080.0,0.8033801490499753
4081.0,0.8006122694546572
4082.0,0.7978443898593393
4083.0,0.7950765102640214
4084.0,0.792308630668703
4085.0,0.7895407510733852
4086.0,0.7867728714780671
4087.0,0.784004991882749
4088.0,0.7812371122874309
4089.0,0.7784692326921129
4090.0,0.7757013530967948
4091.0,0.7729334735014767
4092.0,0.7701655939061587
4093.0,0.7673977143108407
4094.0,0.7646298347155225
4095.0,0.7618619551202045
4096.0,0.7590940755248864
4097.0,0.7563261959295683
4098.0,0.7535583163342503
4099.0,0.7507904367389322
4100.0,0.75
4101.0,0.75
4102.0,0.75
4103.0,0.75
4104.0,0.75
4105.0,0.75
4106.0,0.75
4107.0,0.75
4108.0,0.75
4109.0,0.75
4110.0,0.75
4111.0,0.75
4112.0,0.75
4113.0,0.75
4114.0,0.75
4115.0,0.75
4116.0,0.75
4117.0,0.75
4118.0,0.75
4119.0,0.75
4120.0,0.75
4121.0,0.75
4122.0,0.75
4123.0,0.75
4124.0,0.75
4125.0,0.75
4126.0,0.75
4127.0,0.75
4128.0,0.75
4129.0,0.75
4130.0,0.75
4131.0,0.75
4132.0,0.7502442621806951
4133.0,0.7514744308897254
4134.0,0.7527045995987555
4135.0,0.7539347683077858
4136.0,0.7551649370168161
4137.0,0.7563951057258462
4138.0,0.7576252744348766
4139.0,0.7588554431439068
4140.0,0.760085611852937
4141.0,0.7613157805619674
4142.0,0.7625459492709976
4143.0,0.7637761179800278
4144.0,0.7650062866890581
4145.0,0.7662364553980884
4146.0,0.7674666241071184
4147.0,0.7686967928161488
4148.0,0.7699269615251791
4149.0,0.7711571302342094
4150.0,0.7723872989432395
4151.0,0.7736174676522698
4152.0,0.7748476363613002
4153.0,0.7760778050703303
4154.0,0.7773079737793606
4155.0,0.7785381424883908
4156.0,0.7797683111974211
4157.0,0.7809984799064513
4158.0,0.7822286486154816
4159.0,0.7834588173245118
4160.0,0.7846889860335421
4161.0,0.7859191547425723
4162.0,0.7871493234516025
4163.0,0.7883794921606329
4164.0,0.7896096608696631
4165.0,0.7906298721840199
4166.0,0.7915524987157927
4167.0,0.7924751252475654
4168.0,0.793397751779338
4169.0,0.7943203783111107
4170.0,0.7952430048428835
4171.0,0.7961656313746561
4172.0,0.7970882579064288
4173.0,0.7980108844382015
4174.0,0.7989335109699742
4175.0,0.7998561375017468
4176.0,0.8007787640335196
4177.0,0.8017013905652922
4178.0,0.8026240170970649
4179.0,0.8035466436288378
4180.0,0.8044692701606102
4181.0,0.805391896692383
4182.0,0.8063145232241556
4183.0,0.8072371497559285
4184.0,0.808159776287701
4185.0,0.8090824028194736
4186.0,0.8100050293512464
4187.0,0.8109276558830192
4188.0,0.8118502824147917
4189.0,0.8127729089465644
4190.0,0.8136955354783371
4191.0,0.81461816201011
4192.0,0.8155407885418825
4193.0,0.8164634150736552
4194.0,0.8173860416054278
4195.0,0.8183086681372007
4196.0,0.8192312946689734
4197.0,0.8200513070669153
4198.0,0.8203588492441728
4199.0,0.8206663914214305
4200.0,0.820973933598688
4201.0,0.8212814757759457
4202.0,0.8215890179532032
4203.0,0.8218965601304606
4204.0,0.8222041023077183
4205.0,0.8225116444849757
4206.0,0.8228191866622334
4207.0,0.8231267288394909
4208.0,0.8234342710167486
4209.0,0.8237418131940061
4210.0,0.8240493553712636
4211.0,0.8243568975485213
4212.0,0.8246644397257787
4213.0,0.8249719819030364
4214.0,0.8252795240802939
4215.0,0.8255870662575514
4216.0,0.8258946084348091
4217.0,0.8262021506120666
4218.0,0.8265096927893241
4219.0,0.8268172349665817
4220.0,0.8271247771438393
4221.0,0.8274323193210968
4222.0,0.8277398614983543
4223.0,0.828047403675612
