"PK_ApplianceID","CK_SiteID","CK_RoomID","Row Type","Type","Year of Manufacture on Nameplate","Vintage","Vintage_notes","Serial","Make","Model","Energy Star","Washer-Dryer Matched Pair","Washer Depth","Washer Depth_notes","Washer Diameter","Washer Diameter_notes","Washer Size","Washer Size_notes","Washer Primary","Wifi Enabled","Notes","Room Name","Room Type"
"Appliance_00022462","SITE_00311","Room_00008874","Washer","Vertical Axis (with agitator)","No",2000,,"CK 4160289","Sears","110.20702990","No","Yes",18.0000,,20.0000,,3.3000,,"Yes","No","N/A","Laundry_1","Laundry"
"Appliance_00022457","SITE_00312","Room_00008882","Washer","Vertical Axis (with agitator)","No",2017,,"C72022606","Whirlpool","WTW4616FW1","No","Yes",23.0000,,20.0000,,4.2000,,"Yes","No","N/A","Laundry_1","Laundry"
"Appliance_00023111","SITE_00313","Room_00008891","Washer","Horizontal Axis","No",,"Unknown","GM203954T","GE","WCVH6260hww","No","No",20.0000,,21.0000,,4.0000,,"Yes","No","N/A","Laundry_2","Laundry"
"Appliance_00022473","SITE_00314","Room_00008911","Washer","Vertical Axis (with agitator)","No",,"Unknown","Unknown","Maytag","Unknown","No","No",21.0000,,18.0000,,3.1000,,"Yes","No","nameplate not visible","Laundry_2","Laundry"
"Appliance_00022504","SITE_00315","Room_00008916","Washer","Vertical Axis (with agitator)","No",,"Unknown","C8114270","Whirlpool","La5550xpw7","No","No",19.0000,,18.0000,,2.8000,,"Yes","No","N/A","Hall_1","Hall"
"Appliance_00022467","SITE_00316","Room_00008922","Washer","Vertical Axis (with agitator)","No",1997,,"CG3827339","Sears","110.26932691","No","No",17.0000,,20.0000,,3.1000,,"Yes","No","N/A","Laundry_1","Laundry"
"Appliance_00022472","SITE_00317","Room_00008937","Washer","Vertical Axis (with agitator)","No",2000,,"CK4729752","Estate","taws800jq0","No","No",18.0000,,15.0000,,1.8000,,"Yes","No","N/A","Hall_1","Hall"
"Appliance_00022465","SITE_00319","Room_00008951","Washer","Horizontal Axis","Yes",1998,,"N/A","Frigidaire","Fwtr445rfs0","No","Yes",14.0000,,20.0000,,2.5000,,"Yes","No","N/A","Hall_1","Hall"
"Appliance_00022466","SITE_00320","Room_00008958","Washer","Horizontal Axis","No",1998,,"25143487UQ","Maytag","Mah3000aww","No","No",14.0000,,21.0000,,2.8000,,"Yes","No","N/A","Laundry_1","Laundry"
"Appliance_00022468","SITE_00321","Room_00008968","Washer","Vertical Axis (with agitator)","No",2015,,"C50430215","Crosley","Caw9244dw1","No","Yes",21.0000,,17.0000,,2.8000,,"Yes","No","N/A","Bathroom_1","Bathroom"
"Appliance_00023112","SITE_00322","Room_00008976","Washer","Vertical Axis (with agitator)","No",1997,,"CG2642025","Whirlpool","Lsr8244eqi","Unknown","Yes",21.0000,,16.0000,,2.4000,,"Yes","No","N/A","Laundry_1","Laundry"
"Appliance_00022459","SITE_00323","Room_00008983","Washer","Vertical Axis (with agitator)","Yes",2005,,"N/A","Frigidaire","GLWS1233AS2","No","Yes",20.0000,,20.0000,,3.6000,,"Yes","No","N/A","Bathroom_1","Bathroom"
"Appliance_00022531","SITE_00324","Room_00008992","Washer","Horizontal Axis","No",2015,,"C54450846","Whirlpool","Wfw72HEDW0","Yes","No",20.0000,,20.0000,,3.6000,,"Yes","No","N/A","Laundry_1","Laundry"
"Appliance_00022458","SITE_00325","Room_00008998","Washer","Vertical Axis (with agitator)","No",2006,,"CT4120707","Whirlpool","WTW5600SQ0","No","Yes",22.0000,,20.0000,,4.0000,,"Yes","No","N/A","Kitchen_1","Kitchen"
"Appliance_00022471","SITE_00326","Room_00009012","Washer","Vertical Axis (with agitator)","No",2016,,"XC64417374","Frigidaire","fws6600es1","No","No",22.0000,,17.0000,,2.9000,,"Yes","No","N/A","Laundry_1","Laundry"
"Appliance_00022460","SITE_00327","Room_00009016","Washer","Vertical Axis (without agitator)","No",2013,,"C34132900","Kenmore","110.25102310","No","No",22.0000,,20.0000,,4.0000,,"Yes","No","N/A","Laundry_1","Laundry"
"Appliance_00022532","SITE_00328","Room_00009028","Washer","Vertical Axis (with agitator)","No",,"Unknown","CX2049167","Kenmore","82983110","No","No",19.0000,,19.0000,,3.1000,,"Yes","No","N/A","Hall_1","Hall"
"Appliance_00022533","SITE_00329","Room_00009035","Washer","Vertical Axis (with agitator)","No",2017,,"TG152919G","General Electric","WDSR2080D5WW","No","No",19.0000,,23.0000,,4.6000,,"Yes","No","N/A","Hall_1","Hall"
"Appliance_00022469","SITE_00330","Room_00009041","Washer","Horizontal Axis","No",2003,,"47646999JJ","Maytag","Mah6500aww","Yes","Yes",15.0000,,22.0000,,3.3000,,"Yes","No","N/A","Laundry_2","Laundry"
