"PK_Mechanical_ID","CK_SiteID","System Type","Ventilation Grade","Ventilation Working","Ventilation Controls","Ventilation Use","Ventilation Use_notes","Ventilation Use Units","Notes"
"Mechanical_00001658","SITE_00811","Bathroom Vent","Builder Grade","Yes","Manual Switch",1.0000,,"Hours per day",
"Mechanical_00001661","SITE_00051","Bathroom Vent","Panasonic or equivalent","Yes","Manual Switch",0.0000,,"Hours per day","In laundry"
"Mechanical_00001663","SITE_00815","Bathroom Vent","Builder Grade","Yes","Manual Switch",,"Unknown","Hours per day","In laundry room. Turns on with the light. Common area"
"Mechanical_00001668","SITE_00134","Bathroom Vent","Panasonic or equivalent","Yes","Manual Switch",0.0000,,"Hours per day",
"Mechanical_00001673","SITE_01103","Bathroom Vent","Panasonic or equivalent","Yes","Manual Switch",1.0000,,"Hours per day",
"Mechanical_00001676","SITE_01110","Bathroom Vent","Builder Grade","Yes","Manual Switch",0.2500,,"Hours per day",
"Mechanical_00001680","SITE_01138","Bathroom Vent","Builder Grade","Yes","Manual Switch",0.2500,,"Hours per day",
"Mechanical_00001681","SITE_01141","Bathroom Vent","Panasonic or equivalent","Yes","Manual Switch",1.0000,,"Hours per day",
"Mechanical_00001685","SITE_01701","Bathroom Vent","Builder Grade","Yes","Manual Switch",0.2500,,"Hours per day",
"Mechanical_00001687","SITE_01771","Bathroom Vent","Builder Grade","Yes","Manual Switch",24.0000,,"Hours per day",
"Mechanical_00001691","SITE_01928","Bathroom Vent","Builder Grade","Yes","Manual Switch",0.0000,,"Hours per day",
"Mechanical_00001693","SITE_01929","Bathroom Vent","Builder Grade","Yes","Manual Switch",0.2500,,"Hours per day",
"Mechanical_00001703","SITE_01982","Bathroom Vent","Builder Grade","Yes","Manual Switch",0.0000,,"Hours per day",
"Mechanical_00001705","SITE_01982","Bathroom Vent","Builder Grade","Yes","Manual Switch",2.0000,,"Hours per day",
"Mechanical_00001708","SITE_01995","Bathroom Vent","Builder Grade","Yes","Manual Switch",0.2500,,"Hours per day",
"Mechanical_00001711","SITE_01999","Bathroom Vent","Panasonic or equivalent","Yes","Manual Switch",1.0000,,"Hours per day","3"
"Mechanical_00001713","SITE_01999","Bathroom Vent","Panasonic or equivalent","Yes","Manual Switch",0.5000,,"Hours per day",
"Mechanical_00001726","SITE_00004","Bathroom Vent","Builder Grade","Yes","Manual Switch",1.5000,,"Hours per day",
"Mechanical_00001728","SITE_00006","Bathroom Vent","Unknown","Yes","Manual Switch",0.5000,,"Hours per day",
"Mechanical_00001733","SITE_00014","Bathroom Vent","Panasonic or equivalent","Yes","Manual Switch",0.1000,,"Hours per day",
"Mechanical_00001735","SITE_00018","Bathroom Vent","Builder Grade","Yes","Manual Switch",0.0000,,"Hours per day",
"Mechanical_00001744","SITE_00138","Bathroom Vent","Builder Grade","Yes","Manual Switch",1.0000,,"Hours per day",
"Mechanical_00001746","SITE_00139","Bathroom Vent","Builder Grade","Yes","Manual Switch",0.3300,,"Hours per day",
"Mechanical_00001754","SITE_00160","Bathroom Vent","Unknown","Yes","Manual Switch",1.0000,,"Hours per day",
"Mechanical_00001756","SITE_00163","Bathroom Vent","Unknown","No","Manual Switch",0.0000,,"Hours per day",
"Mechanical_00001761","SITE_00177","Bathroom Vent","Builder Grade","Yes","Manual Switch",0.0000,,"Hours per day",
"Mechanical_00001763","SITE_00419","Bathroom Vent","Builder Grade","Yes","Manual Switch",1.0000,,"Hours per day",
"Mechanical_00001768","SITE_00438","Bathroom Vent","Builder Grade","No","Timer",0.0000,,"Hours per day",
"Mechanical_00001772","SITE_00499","Bathroom Vent","Builder Grade","Yes","Manual Switch",0.0000,,"Hours per day",
"Mechanical_00001778","SITE_00505","Bathroom Vent","Panasonic or equivalent","Yes","Manual Switch",0.2000,,"Hours per day",
"Mechanical_00001779","SITE_00507","Bathroom Vent","Builder Grade","Yes","Manual Switch",0.2500,,"Hours per day",
"Mechanical_00001781","SITE_00508","Bathroom Vent","Builder Grade","Yes","Manual Switch",0.2500,,"Hours per day",
"Mechanical_00001783","SITE_00510","Bathroom Vent","Panasonic or equivalent","Yes","Manual Switch",0.0000,,"Hours per day",
"Mechanical_00001792","SITE_00513","Bathroom Vent","Builder Grade","Yes","Manual Switch",0.5000,,"Hours per day",
"Mechanical_00001794","SITE_00516","Bathroom Vent","Builder Grade","Yes","Manual Switch",1.0000,,"Hours per day",
"Mechanical_00001797","SITE_00521","Bathroom Vent","Builder Grade","Yes","Manual Switch",0.7500,,"Hours per day",
"Mechanical_00001799","SITE_00524","Bathroom Vent","Builder Grade","Yes","Timer",0.0000,,"Hours per day","Hall bath"
