"PK_Mechanical_ID","CK_SiteID","System Type","Ventilation Type","Ventilation Controls"
"Mechanical_00007444","SITE_01496","Kitchen Vent","Small Capacity Exhaust","Variable Speed"
"Mechanical_00007445","SITE_01497","Kitchen Vent","Small Capacity Exhaust","Manual Switch"
"Mechanical_00007446","SITE_01498","Kitchen Vent","Small Capacity Exhaust","Variable Speed"
"Mechanical_00007447","SITE_01501","Kitchen Vent","High Capacity Exhaust","Manual Switch"
"Mechanical_00007448","SITE_01502","Kitchen Vent","Recirculating Only","Manual Switch"
"Mechanical_00007449","SITE_01505","Kitchen Vent","High Capacity Exhaust","Manual Switch"
"Mechanical_00007450","SITE_01507","Kitchen Vent","Recirculating Only","Variable Speed"
"Mechanical_00007451","SITE_01508","Kitchen Vent","Small Capacity Exhaust","Continuous"
"Mechanical_00007452","SITE_01510","Kitchen Vent","Small Capacity Exhaust","Manual Switch"
"Mechanical_00007453","SITE_01512","Kitchen Vent","Small Capacity Exhaust","Manual Switch"
"Mechanical_00007454","SITE_01522","Kitchen Vent","Small Capacity Exhaust","Manual Switch"
"Mechanical_00007455","SITE_01526","Kitchen Vent","High Capacity Exhaust","Manual Switch"
"Mechanical_00007456","SITE_01532","Kitchen Vent","High Capacity Exhaust","Variable Speed"
"Mechanical_00007457","SITE_01533","Kitchen Vent","High Capacity Exhaust","Manual Switch"
"Mechanical_00007458","SITE_01535","Kitchen Vent","Small Capacity Exhaust","Manual Switch"
"Mechanical_00007459","SITE_01589","Kitchen Vent","High Capacity Exhaust","Variable Speed"
"Mechanical_00007460","SITE_01799","Kitchen Vent","Small Capacity Exhaust","Manual Switch"
"Mechanical_00007461","SITE_01741","Kitchen Vent","Small Capacity Exhaust","Variable Speed"
"Mechanical_00007462","SITE_01797","Kitchen Vent","Small Capacity Exhaust","Variable Speed"
"Mechanical_00007463","SITE_01100","Kitchen Vent","Recirculating Only","Manual Switch"
"Mechanical_00007464","SITE_01095","Kitchen Vent","Small Capacity Exhaust","Manual Switch"
"Mechanical_00007465","SITE_01653","Kitchen Vent","Small Capacity Exhaust","Manual Switch"
"Mechanical_00007669","SITE_01193","Kitchen Vent","Recirculating Only","Manual Switch"
