"PK_ApplianceID","CK_SiteID","CK_RoomID","Type","Year of Manufacture on Nameplate","Vintage","Vintage_notes","Serial","Make","Model","Energy Star","TV Screen Type","TV Screen Surface","TV Resolution","Primary","Size (Diagonal Inches)","Size (Diagonal Inches)_notes","Wattage","Wattage_notes","Set Top Box Present","Set Top Box Provider","Set Top Box Year","Set Top Box Year_notes","Set Top Box Size","Set Top Box Records","STB Wifi","TV Wifi","TV Qty of Streaming Devices","TV Qty of Streaming Devices_notes","TV Qty of External Media Devices","TV Qty of External Media Devices_notes","TV Auxiliary Devices Plugged into Single Strip","Notes","Room Name","Room Type"
"Appliance_00018676","SITE_01158","Room_00016699","Television","Yes",2010,,"N/A","LG","32ld450-ua","Yes","LCD","Flat","High Definition (720P)","Secondary",32.0000,,79.0000,,"No","N/A",,"N/A","N/A","N/A","N/A","No",1,,0,,"No","N/A","Bedroom_2","Bedroom"
"Appliance_00018796","SITE_01159","Room_00016702","Television","Yes",2011,,"N/A","Sony","KDL-55EX720","Yes","LCD","Flat","FHD (1080P)","Secondary",55.0000,,80.0000,,"No","N/A",,"N/A","N/A","N/A","N/A","No",0,,0,,"No","N/A","Family Room_1","Family Room"
"Appliance_00018797","SITE_01159","Room_00016704","Television","No",,"Unknown","LUKEBAK4201896","Vizio","VO370M","Yes","LCD","Flat","FHD (1080P)","Primary",37.0000,,,"Could not meter","No","N/A",,"N/A","N/A","N/A","N/A","No",1,,0,,"No","Cord went up above closet","Bedroom_1","Bedroom"
"Appliance_00018798","SITE_01160","Room_00016712","Television","Yes",1987,,"N/A","Montgomery Ward","JSA 12678","No","Projector (Non-CRT)","Curved","Standard Definition","Primary",20.0000,,48.0000,,"Yes","Directv",2004,,"Full","Yes","No","No",0,,2,,"Unknown","N/A","Living Room_1","Living Room"
"Appliance_00018799","SITE_01161","Room_00016717","Television","No",,"Unknown","Unknown","Toshiba","Unknown","Yes","Unknown","Flat","Unknown","Primary",18.0000,,26.0000,,"No","N/A",,"N/A","N/A","N/A","N/A","No",0,,1,,"Yes","Mounted on wall","Bedroom_1","Bedroom"
"Appliance_00018770","SITE_01162","Room_00016729","Television","Yes",2011,,"N/A","Panasonic","Tc-l42d30","No","LED","Flat","FHD (1080P)","Primary",42.0000,,76.0000,,"No","N/A",,"N/A","N/A","N/A","N/A","Yes",1,,0,,"No","N/A","Living Room_1","Living Room"
"Appliance_00018769","SITE_01163","Room_00016737","Television","Yes",2010,,"N/A","Insignia","Ns-lcd19-09","Yes","LCD","Flat","High Definition (720P)","Primary",19.0000,,40.0000,,"Yes","Comcast",2014,,"Small","No","Unknown","No",0,,1,,"No","N/A","Living Room_1","Living Room"
"Appliance_00018758","SITE_01164","Room_00016740","Television","No",,"Unknown","408912724","Sharp","LCMs-20av1u","Yes","LCD","Flat","Unknown","Primary",20.0000,,58.0000,,"No","N/A",,"N/A","N/A","N/A","N/A","No",1,,1,,"Yes","N/A","Living Room_1","Living Room"
"Appliance_00018788","SITE_01165","Room_00016745","Television","Yes",2008,,"N/A","Sony","KDL-32L4000","No","LCD","Flat","High Definition (720P)","Primary",32.0000,,148.0000,,"Yes","Comcast",2016,,"Full","Yes","No","No",0,,1,,"Yes","N/A","Living Room_1","Living Room"
"Appliance_00018757","SITE_01166","Room_00016760","Television","Yes",2009,,"N/A","LG","32lh20-ua","Yes","LCD","Flat","High Definition (720P)","Primary",32.0000,,42.0000,,"Yes","Comcast",2016,,"Full","No","Unknown","No",0,,1,,"Yes","N/A","Living Room_1","Living Room"
"Appliance_00019566","SITE_01167","Room_00016761","Television","No",,"Unknown","204713308","Sharp","LC-60E69U","Yes","LCD","Flat","FHD (1080P)","Secondary",60.0000,,,"Could not meter","Yes","Comcast",2016,,"Full","Yes","Yes","No",0,,1,,"Unknown","No access to power","Living Room_1","Living Room"
"Appliance_00019567","SITE_01167","Room_00016765","Television","No",,"Unknown","LAUKEADL0127768","Vizio","VO320E","Yes","LCD","Flat","FHD (1080P)","Unknown",32.0000,,78.0000,,"Yes","Comcast",2016,,"Small","Unknown","Unknown","No",0,,0,,"Yes","N/A","Bedroom_1","Bedroom"
"Appliance_00019568","SITE_01167","Room_00016767","Television","No",,"Unknown","Unknown","JVC","LT-42X579","Yes","LCD","Flat","FHD (1080P)","Primary",42.0000,,,"Could not meter","Yes","Comcast",2015,,"Full","Yes","Yes","No",0,,1,,"Unknown","No access to power","Bedroom_2","Bedroom"
