"PK_Envelope_ID","CK_SiteID","Construction Type","Framing Type","Foundation Type","Total Building Levels","Building Level","Building Level_notes","Area","Area_notes","Average Height","Average Height_notes","Volume","Volume_notes"
"Envelope_00007069","SITE_01976","Frame","Wood","> 90% Crawlspace","2",2,,684.0000,,7.5000,,5130.0000,
"Envelope_00007109","SITE_01977","Frame","Wood","> 90% Conditioned Basement","1",1,,810.0000,,7.0000,,5670.0000,
"Envelope_00007110","SITE_01977","Frame","Wood","> 90% Conditioned Basement","1",2,,972.0000,,8.0000,,7776.0000,
"Envelope_00007498","SITE_01978","Frame","Wood","> 90% Crawlspace","2",1,,2438.0000,,9.0000,,21942.0000,
"Envelope_00007499","SITE_01978","Frame","Wood","> 90% Crawlspace","2",2,,364.0000,,7.0000,,2548.0000,
"Envelope_00007482","SITE_01979","Frame","Wood","> 90% Crawlspace","1",1,,945.0000,,8.0000,,7560.0000,
"Envelope_00007536","SITE_01980","Frame","Wood","> 90% Unconditioned Basement","2",1,,1865.0000,,8.0000,,14920.0000,
"Envelope_00007537","SITE_01980","Frame","Wood","> 90% Unconditioned Basement","2",2,,1146.0000,,6.3300,,7766.0000,
"Envelope_00007475","SITE_01981","Frame","Wood","> 90% Conditioned Basement","2.5",1,,994.5000,,7.7000,,7658.0000,
"Envelope_00007476","SITE_01981","Frame","Wood","> 90% Conditioned Basement","2.5",2,,1062.0000,,9.3800,,11565.0000,
"Envelope_00007477","SITE_01981","Frame","Wood","> 90% Conditioned Basement","2.5",3,,582.0000,,7.5000,,4365.0000,
"Envelope_00007619","SITE_01982","Frame","Wood","> 90% Slab","2",1,,1316.5000,,8.0000,,10532.0000,
"Envelope_00007620","SITE_01982","Frame","Wood","> 90% Slab","2",2,,1375.6000,,8.1900,,11129.0000,
"Envelope_00007569","SITE_01983","Frame","Wood","> 90% Crawlspace","1",1,,2313.8000,,8.0700,,19889.0000,
"Envelope_00007521","SITE_01984","Frame","Wood","Mixed Crawlspace and Conditioned Basement","2",1,,1732.0000,,9.0000,,15588.0000,
"Envelope_00007522","SITE_01984","Frame","Wood","Mixed Crawlspace and Conditioned Basement","2",2,,876.0000,,8.0000,,7008.0000,
"Envelope_00007031","SITE_01985","Frame","Wood","> 90% Crawlspace","2",1,,0.0000,,0.0000,,0.0000,
"Envelope_00007032","SITE_01985","Frame","Wood","> 90% Crawlspace","2",2,,728.0000,,8.0700,,5875.0000,
"Envelope_00007260","SITE_01986","Frame","Wood","Mixed Conditioned Basement and Slab","3+",1,,864.0000,,7.0000,,6048.0000,
"Envelope_00007261","SITE_01986","Frame","Wood","Mixed Conditioned Basement and Slab","3+",2,,1171.5000,,8.6700,,11640.0000,
"Envelope_00007262","SITE_01986","Frame","Wood","Mixed Conditioned Basement and Slab","3+",3,,1134.0000,,8.0000,,9072.0000,
"Envelope_00007263","SITE_01986","Frame","Wood","Mixed Conditioned Basement and Slab","3+",4,,308.0000,,6.0000,,1918.0000,
"Envelope_00007508","SITE_01987","Frame","Wood","> 90% Slab","1",1,,740.0000,,7.7500,,5735.0000,
"Envelope_00007548","SITE_01988","Frame","Wood","> 90% Conditioned Basement","2.5",1,,952.0000,,6.8900,,6559.0000,
"Envelope_00007549","SITE_01988","Frame","Wood","> 90% Conditioned Basement","2.5",2,,1506.0000,,9.3700,,13848.0000,
"Envelope_00007550","SITE_01988","Frame","Wood","> 90% Conditioned Basement","2.5",3,,952.0000,,8.0000,,7616.0000,
"Envelope_00007310","SITE_01989","Frame","Wood","> 90% Unconditioned Basement","1",1,,732.9000,,6.6000,,4837.0000,
"Envelope_00007311","SITE_01989","Frame","Wood","> 90% Unconditioned Basement","1",2,,1185.4000,,7.8000,,9245.0000,
"Envelope_00007693","SITE_01990","Frame","Wood","> 90% Crawlspace","1",1,,,,,,,
"Envelope_00007694","SITE_01990","Frame","Wood","> 90% Crawlspace","1",2,,1693.0000,,8.0000,,13544.0000,
"Envelope_00007602","SITE_01991","Frame","Wood","> 90% Crawlspace","1",1,,684.0000,,7.6800,,5355.0000,
"Envelope_00007615","SITE_01992","Frame","Wood","Mixed Crawlspace and Slab","1",1,,1934.0000,,10.2500,,20266.0000,
"Envelope_00007573","SITE_01993","Frame","Wood","> 90% Unconditioned Basement","2",1,,1456.0000,,8.1000,,11793.0000,
"Envelope_00007574","SITE_01993","Frame","Wood","> 90% Unconditioned Basement","2",2,,520.0000,,6.5800,,3422.0000,
"Envelope_00007702","SITE_01994","Frame","Wood","> 90% Crawlspace","1",1,,2502.0000,,9.2600,,23158.0000,
"Envelope_00007593","SITE_01995","Frame","Wood","> 90% Crawlspace","2",1,,910.0000,,11.3500,,8995.0000,
"Envelope_00007594","SITE_01995","Frame","Wood","> 90% Crawlspace","2",2,,1019.0000,,8.0000,,8152.0000,
"Envelope_00007452","SITE_01996","Frame","Wood","> 90% Crawlspace","2",1,,,,,,,
"Envelope_00007453","SITE_01996","Frame","Wood","> 90% Crawlspace","2",2,,2971.0000,,8.0000,,23768.0000,
"Envelope_00007080","SITE_01997","Frame","Wood","Mixed Crawlspace and Room Over Garage","1",1,,1920.0000,,8.7800,,15669.0000,
"Envelope_00007500","SITE_01998","Frame","Wood","> 90% Slab","2.5",1,,195.0000,,10.0000,,1950.0000,
"Envelope_00007501","SITE_01998","Frame","Wood","> 90% Slab","2.5",2,,1368.0000,,8.7500,,11952.0000,
"Envelope_00007502","SITE_01998","Frame","Wood","> 90% Slab","2.5",3,,720.0000,,5.0000,,3600.0000,
"Envelope_00007630","SITE_01999","Frame","Wood","> 90% Conditioned Basement","2.5",1,,1650.0000,,9.0000,,12272.0000,
"Envelope_00007631","SITE_01999","Frame","Wood","> 90% Conditioned Basement","2.5",2,,1650.0000,,14.5000,,19771.0000,
"Envelope_00007632","SITE_01999","Frame","Wood","> 90% Conditioned Basement","2.5",3,,600.0000,,10.0000,,2300.0000,
"Envelope_00007575","SITE_02000","Frame","Wood","Mixed Crawlspace and Slab","2",1,,1020.0000,,7.6400,,7845.0000,
"Envelope_00007576","SITE_02000","Frame","Wood","Mixed Crawlspace and Slab","2",2,,896.0000,,8.0000,,7168.0000,
