"PK_Mechanical_ID","CK_SiteID","System Type","Ventilation Grade","Ventilation Type","Ventilation Working","Ventilation Controls","Ventilation Use","Ventilation Use_notes","Ventilation Use Units"
"Mechanical_00003755","SITE_00611","Central Vent","Builder Grade","Controlled","Yes","Manual Switch",0.1000,,"Hours per day"
"Mechanical_00003756","SITE_00772","Central Vent","Builder Grade","Controlled","Yes","Manual Switch",24.0000,,"Hours per day"
"Mechanical_00003757","SITE_00427","Central Vent","Panasonic or equivalent","Controlled","Yes","Timer",12.0000,,"Hours per day"
"Mechanical_00003758","SITE_00719","Central Vent","Builder Grade","Non-controlled","Yes","Manual Switch",0.0000,,"Hours per day"
"Mechanical_00003759","SITE_00664","Central Vent","Panasonic or equivalent","Controlled","Yes","Manual Switch",0.0150,,"Hours per day"
"Mechanical_00003760","SITE_00670","Central Vent","Builder Grade","Controlled","Yes","Timer",0.0000,,"Hours per day"
"Mechanical_00003761","SITE_00785","Central Vent","Panasonic or equivalent","Controlled","Yes","Timer",3.0000,,"Hours per day"
"Mechanical_00003762","SITE_00785","Central Vent","Panasonic or equivalent","Controlled","Yes","Timer",3.0000,,"Hours per day"
"Mechanical_00003763","SITE_00468","Central Vent","Builder Grade","Controlled","Yes","Unknown",6.0000,,"Hours per day"
"Mechanical_00003764","SITE_00088","Central Vent","Panasonic or equivalent","Controlled","Yes","Timer",4.0000,,"Hours per day"
"Mechanical_00003765","SITE_01865","Central Vent","Panasonic or equivalent","Controlled","Yes","Manual Switch",0.0000,,"Hours per day"
"Mechanical_00003766","SITE_00753","Central Vent","Builder Grade","Controlled","Yes","Manual Switch",0.0000,,"Hours per day"
"Mechanical_00003767","SITE_01473","Central Vent","Unknown","Controlled","Yes","Manual Switch",,"Unknown","Hours per day"
"Mechanical_00003768","SITE_01209","Central Vent","Builder Grade","Controlled","Yes","Manual Switch",0.0000,,"Hours per day"
"Mechanical_00003769","SITE_01838","Central Vent","Builder Grade","Controlled","No","Manual Switch",0.0000,,"Hours per day"
"Mechanical_00003770","SITE_01844","Central Vent","Builder Grade","Unknown","Unknown","Unknown",0.0000,,"Hours per day"
"Mechanical_00003771","SITE_01849","Central Vent","Panasonic or equivalent","Controlled","Yes","Manual Switch",0.0000,,"Hours per day"
"Mechanical_00003772","SITE_01300","Central Vent","Unknown","Unknown","Unknown","Unknown",,"Unknown","Hours per day"
