"PK_Mechanical_ID","CK_SiteID","System Type","Duct Insulation Condition","Duct Insulation Condition_notes","Metal or Ductboard Duct Insulation Type 1","Metal or Ductboard Duct Insulation Thickness 1","Metal or Ductboard Duct Insulation Thickness 1_notes","Metal or Ductboard Duct Insulation Type 2","Metal or Ductboard Duct Insulation Thickness 2","Metal or Ductboard Duct Insulation Thickness 2_notes","Metal or Ductboard Duct Insulation Type 3","Metal or Ductboard Duct Insulation Thickness 3","Metal or Ductboard Duct Insulation Thickness 3_notes","Flex Run Type 1","Flex Run Type 2","Flex Run Type 3","Evidence of Duct Sealing","Duct Sealing Material","Cavity Used for Air Transport","Duct Location 1","Duct Location 1 Supply","Duct Location 1 Supply_notes","Duct Location 1 Return","Duct Location 1 Return_notes","Duct Location 1 Conditioned","Duct Location 2","Duct Location 2 Supply","Duct Location 2 Supply_notes","Duct Location 2 Return","Duct Location 2 Return_notes","Duct Location 2 Conditioned","Duct Location 3","Duct Location 3 Supply","Duct Location 3 Supply_notes","Duct Location 3 Return","Duct Location 3 Return_notes","Duct Location 3 Conditioned","Duct Location 4","Duct Location 4 Supply","Duct Location 4 Supply_notes","Duct Location 4 Return","Duct Location 4 Return_notes","Duct Location 4 Conditioned","Percentage of Supply Ducts in Conditioned Space","Percentage of Supply Ducts in Conditioned Space_notes","Percentage of Return Ducts in Conditioned Space","Percentage of Return Ducts in Conditioned Space_notes","Percent Supply Ducts in Unconditioned Inaccessible Space","Percent Supply Ducts in Unconditioned Inaccessible Space_notes"
"Mechanical_00004919","SITE_00710","Metal Plenum, Flex Runs",,"N/A","N/A",,"N/A","N/A",,"N/A","N/A",,"N/A","R8","N/A","N/A","No","N/A","No","In Walls",1.0000,,0.0000,,"Conditioned","Attic",1.0000,,0.0000,,"Unconditioned","N/A",,"N/A",,"N/A","N/A","N/A",,"N/A",,"N/A","N/A",1.0000,,0.0000,,0.0000,
"Mechanical_00004920","SITE_00465","All Metal",,"N/A","N/A",,"N/A","N/A",,"N/A","N/A",,"N/A","N/A","N/A","N/A","Yes","Unknown","No","In Walls",1.0000,,1.0000,,"Conditioned","N/A",1.0000,,1.0000,,"N/A","N/A",,"N/A",,"N/A","N/A","N/A",,"N/A",,"N/A","N/A",1.0000,,1.0000,,0.0000,
"Mechanical_00004921","SITE_00503","Not Present",,"N/A","N/A",,"N/A","N/A",,"N/A","N/A",,"N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A",,"N/A",,"N/A","N/A","N/A",,"N/A",,"N/A","N/A","N/A",,"N/A",,"N/A","N/A","N/A",,"N/A",,"N/A","N/A",,"N/A",,"N/A",,"N/A"
"Mechanical_00004922","SITE_00494","All Metal",,"N/A","N/A",,"N/A","N/A",,"N/A","N/A",,"N/A","N/A","N/A","N/A","Unknown","Unknown","No","Crawlspace",1.0000,,1.0000,,"Unconditioned Inaccessible","N/A",1.0000,,1.0000,,"N/A","N/A",,"N/A",,"N/A","N/A","N/A",,"N/A",,"N/A","N/A",0.0000,,0.0000,,1.0000,
"Mechanical_00004923","SITE_00700","All Metal",,"N/A","N/A",,"N/A","N/A",,"N/A","N/A",,"N/A","N/A","N/A","N/A","Yes","Mastic","Yes","In Walls",1.0000,,1.0000,,"Conditioned","N/A",1.0000,,1.0000,,"N/A","N/A",,"N/A",,"N/A","N/A","N/A",,"N/A",,"N/A","N/A",1.0000,,1.0000,,0.0000,
"Mechanical_00004924","SITE_00784","All Metal",0.2500,,"Fiberglass batts",1.0000,,"N/A",,"N/A","N/A",,"N/A","N/A","N/A","N/A","No","N/A","No","In Walls",1.0000,,1.0000,,"Conditioned","N/A",1.0000,,1.0000,,"N/A","N/A",,"N/A",,"N/A","N/A","N/A",,"N/A",,"N/A","N/A",1.0000,,1.0000,,0.0000,
"Mechanical_00004925","SITE_00687","All Metal",,"N/A","N/A",,"N/A","N/A",,"N/A","N/A",,"N/A","N/A","N/A","N/A","No","N/A","Yes","In Walls",1.0000,,1.0000,,"Conditioned","N/A",1.0000,,1.0000,,"N/A","N/A",,"N/A",,"N/A","N/A","N/A",,"N/A",,"N/A","N/A",1.0000,,1.0000,,0.0000,
"Mechanical_00004926","SITE_00761","All Metal",,"N/A","N/A",,"N/A","N/A",,"N/A","N/A",,"N/A","N/A","N/A","N/A","No","N/A","Yes","In Walls",1.0000,,1.0000,,"Conditioned","N/A",1.0000,,1.0000,,"N/A","N/A",,"N/A",,"N/A","N/A","N/A",,"N/A",,"N/A","N/A",1.0000,,1.0000,,0.0000,
"Mechanical_00004927","SITE_00658","Ducting Unknown",,"N/A","N/A",,"N/A","N/A",,"N/A","N/A",,"N/A","N/A","N/A","N/A","No","N/A","Unknown","Crawlspace",1.0000,,0.0000,,"Unconditioned","In Walls",1.0000,,0.0000,,"Conditioned","N/A",,"N/A",,"N/A","N/A","N/A",,"N/A",,"N/A","N/A",0.0000,,1.0000,,0.0000,
"Mechanical_00004928","SITE_00506","Metal Plenum, Flex Runs",1.0000,,"Fiberglass batts",3.5000,,"N/A",,"N/A","N/A",,"N/A","R8","N/A","N/A","No","N/A","No","Attic",1.0000,,1.0000,,"Unconditioned","N/A",1.0000,,1.0000,,"N/A","N/A",,"N/A",,"N/A","N/A","N/A",,"N/A",,"N/A","N/A",1.0000,,1.0000,,0.0000,
"Mechanical_00004929","SITE_00748","Metal Plenum, Flex Runs",,"Unknown","Unknown",,"Unknown","Unknown",,"Unknown","Unknown",,"Unknown","Unknown","Unknown","N/A","Unknown","Unknown","Unknown","Unknown",,"Unknown",,"Unknown","Unknown","Unknown",,"Unknown",,"Unknown","Unknown","Unknown",,"Unknown",,"Unknown","Unknown","Unknown",,"Unknown",,"Unknown","Unknown",,"Unknown",,"Unknown",,"Unknown"
"Mechanical_00004930","SITE_01217","Metal Plenum, Flex Runs",1.0000,,"Fiberglass batts",2.0000,,"N/A",,"N/A","N/A",,"N/A","R8","N/A","N/A","Unknown","Unknown","No","Crawlspace",1.0000,,0.0000,,"Unconditioned","Attic",1.0000,,0.0000,,"Unconditioned","N/A",,"N/A",,"N/A","N/A","N/A",,"N/A",,"N/A","N/A",0.0000,,0.0000,,0.0000,
"Mechanical_00004931","SITE_01202","Metal Plenum, Flex Runs",1.0000,,"Foil-faced polyiscyanurate foam board",2.0000,,"N/A",,"N/A","N/A",,"N/A","R6","N/A","N/A","No","N/A","No","Crawlspace",0.5000,,0.0000,,"Unconditioned","In Walls",0.5000,,0.0000,,"Conditioned","In Walls",0.0000,,0.5000,,"Conditioned","Attic",0.0000,,0.5000,,"Unconditioned",0.0000,,1.0000,,0.0000,
"Mechanical_00004932","SITE_00015","All Metal",0.9000,,"Fiberglass batts",2.0000,,"N/A",,"N/A","N/A",,"N/A","N/A","N/A","N/A","Unknown","Unknown","Unknown","Crawlspace",1.0000,,0.0000,,"Unconditioned","In Walls",1.0000,,0.0000,,"Conditioned","N/A",,"N/A",,"N/A","N/A","N/A",,"N/A",,"N/A","N/A",0.0000,,1.0000,,0.0000,
"Mechanical_00004933","SITE_00760","All Metal",,"N/A","N/A",,"N/A","N/A",,"N/A","N/A",,"N/A","N/A","N/A","N/A","No","N/A","Yes","Basement",1.0000,,1.0000,,"Conditioned","N/A",1.0000,,1.0000,,"N/A","N/A",,"N/A",,"N/A","N/A","N/A",,"N/A",,"N/A","N/A",1.0000,,1.0000,,0.0000,
"Mechanical_00004934","SITE_00695","All Metal",1.0000,,"Fiberglass batts",2.0000,,"N/A",,"N/A","N/A",,"N/A","N/A","N/A","N/A","Unknown","Unknown","Unknown","Garage",0.2500,,0.5000,,"Unconditioned","Attic",0.2500,,0.5000,,"Unconditioned","N/A",,"N/A",,"N/A","N/A","N/A",,"N/A",,"N/A","N/A",0.0000,,0.0000,,0.0000,
"Mechanical_00004616","SITE_01785","Not Present",,"N/A","N/A",,"N/A","N/A",,"N/A","N/A",,"N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A",,"N/A",,"N/A","N/A","N/A",,"N/A",,"N/A","N/A","N/A",,"N/A",,"N/A","N/A","N/A",,"N/A",,"N/A","N/A",,"N/A",,"N/A",,"N/A"
"Mechanical_00004617","SITE_01790","Metal Plenum, Flex Runs",1.0000,,"Fiberglass batts",3.0000,,"N/A",,"N/A","N/A",,"N/A","R8","Unknown","Unknown","Yes","Unknown","No","Attic",0.0000,,1.0000,,"Unconditioned","Attic",0.0000,,1.0000,,"Unconditioned","N/A",,"N/A",,"N/A","N/A","N/A",,"N/A",,"N/A","N/A",0.0000,,0.0000,,0.0000,
"Mechanical_00004618","SITE_01792","Not Present",,"N/A","N/A",,"N/A","N/A",,"N/A","N/A",,"N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A",,"N/A",,"N/A","N/A","N/A",,"N/A",,"N/A","N/A","N/A",,"N/A",,"N/A","N/A","N/A",,"N/A",,"N/A","N/A",,"N/A",,"N/A",,"N/A"
"Mechanical_00004619","SITE_01793","Not Present",,"N/A","N/A",,"N/A","N/A",,"N/A","N/A",,"N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A",,"N/A",,"N/A","N/A","N/A",,"N/A",,"N/A","N/A","N/A",,"N/A",,"N/A","N/A","N/A",,"N/A",,"N/A","N/A",,"N/A",,"N/A",,"N/A"
"Mechanical_00004620","SITE_01820","All Metal",1.0000,,"Fiberglass batts",,"Unknown","N/A",,"N/A","N/A",,"N/A","N/A","N/A","N/A","Unknown","Unknown","No","Crawlspace",1.0000,,0.0000,,"Unconditioned","MF Home Mechanical Closet",1.0000,,0.0000,,"Conditioned","N/A",,"N/A",,"N/A","N/A","N/A",,"N/A",,"N/A","N/A",0.0000,,1.0000,,0.0000,
"Mechanical_00004621","SITE_01821","Metal Plenum, Flex Runs",,"N/A","N/A",,"N/A","N/A",,"N/A","N/A",,"N/A","R6","Unknown","Unknown","No","N/A","No","Crawlspace",1.0000,,0.0000,,"Unconditioned","In Walls",1.0000,,0.0000,,"Conditioned","N/A",,"N/A",,"N/A","N/A","N/A",,"N/A",,"N/A","N/A",0.0000,,1.0000,,0.0000,
"Mechanical_00004622","SITE_01822","All Metal",,"Unknown","Fiberglass batts",,"Unknown","N/A",,"N/A","N/A",,"N/A","N/A","N/A","N/A","Unknown","Unknown","No","Crawlspace",1.0000,,0.0000,,"Unconditioned","In Walls",1.0000,,0.0000,,"Conditioned","N/A",,"N/A",,"N/A","N/A","N/A",,"N/A",,"N/A","N/A",0.0000,,1.0000,,0.0000,
"Mechanical_00004623","SITE_01823","All Metal",,"N/A","N/A",,"N/A","N/A",,"N/A","N/A",,"N/A","N/A","N/A","N/A","No","N/A","Unknown","Crawlspace",1.0000,,0.0000,,"Unconditioned","In Walls",1.0000,,0.0000,,"Conditioned","N/A",,"N/A",,"N/A","N/A","N/A",,"N/A",,"N/A","N/A",0.0000,,1.0000,,0.0000,
