"PK_ApplianceID","CK_SiteID","CK_RoomID","Type","Large Unusual Load Type","Large Unusual Load Quantity","Large Unusual Load Quantity_notes","Year of Manufacture on Nameplate","Vintage","Vintage_notes","Serial","Make","Model","Energy Star","Wifi Enabled","Well Pump Controlled by VSD","VSD Motor Input","VSD Motor Input_notes","VSD Motor Input Units","Notes","Room Name","Room Type"
"Appliance_00007646","SITE_00962","Room_00015163","Large Unusual Load","Elliptical Machine",1,,"No",,"Unknown","Unknown","Healthrider","Unknown","No","No","N/A",,"N/A","N/A","N/A","Basement_1","Basement"
"Appliance_00007647","SITE_00962","Room_00015163","Large Unusual Load","Treadmill",1,,"No",,"Unknown","Unknown","We lo","Cadenc g-40","No","No","N/A",,"N/A","N/A","N/A","Basement_1","Basement"
"Appliance_00007584","SITE_00964","Room_00002858","Large Unusual Load","Treadmill",1,,"No",,"Unknown","Unknown","Weslo","Cadence G 5.9","No","No","N/A",,"N/A","N/A","N/A","Bedroom_6","Bedroom"
"Appliance_00007585","SITE_00965","Room_00002879","Large Unusual Load","Sump Pump",1,,"Yes",2009,,"Unknown","Utilitech","57522-utl1","No","No","N/A",,"N/A","N/A","This looks like it was installed to be used if the basement floods","Outside_2","Outside"
"Appliance_00007586","SITE_00965","Room_00002879","Large Unusual Load","Water Pump",1,,"No",,"Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","N/A",,"N/A","N/A","There is a pump in the basement that pumps bathroom black/greywater to the ground level","Outside_2","Outside"
"Appliance_00022602","SITE_00965","Room_00002879","Well Pump","N/A",,"N/A","No",,"Unknown","Unknown","Craftsman","390.284031","Unknown","N/A","No",,"Unknown","Unknown","N/A","Outside_2","Outside"
"Appliance_00007587","SITE_00969","Room_00002920","Large Unusual Load","Fitness Bike",1,,"No",,"Unknown","Unknown","Vision fitness","Unknown","Unknown","No","N/A",,"N/A","N/A","Fitness bike no info","Bedroom_4","Bedroom"
"Appliance_00022603","SITE_00971","Room_00002964","Well Pump","N/A",,"N/A","No",,"Unknown","Unknown","Unknown","Unknown","Unknown","N/A","No",,"Unknown","Unknown","N/A","Outside_2","Outside"
"Appliance_00022604","SITE_00973","Room_00002994","Well Pump","N/A",,"N/A","No",,"Unknown","Unknown","Harvard","Unknown","Unknown","N/A","Unknown",,"Unknown","Unknown","N/A","Outside_2","Outside"
"Appliance_00007588","SITE_00973","Room_00002994","Large Unusual Load","Water Softner",1,,"No",,"Unknown","01062240","Kinetico","60","No","No","N/A",,"N/A","N/A","N/A","Outside_2","Outside"
"Appliance_00007589","SITE_00976","Room_00003015","Large Unusual Load","Water Pressure Device",1,,"No",,"Unknown","13299040","Well Mate","Wm-12","No","No","N/A",,"N/A","N/A","N/A","Outside_2","Outside"
"Appliance_00022605","SITE_00976","Room_00003015","Well Pump","N/A",,"N/A","No",,"Unknown","Unknown","Emerson","C55cxhtp-4253","No","N/A","No",,"Unknown","Unknown","Used for irrigation only","Outside_2","Outside"
"Appliance_00022606","SITE_00976","Room_00003015","Well Pump","N/A",,"N/A","No",,"Unknown","Unknown","Unknown","Unknown","Unknown","N/A","Unknown",,"Unknown","Unknown","Could not access","Outside_2","Outside"
"Appliance_00007590","SITE_00980","Room_00003083","Large Unusual Load","Water Feature",1,,"No",,"Unknown","Unknown","Unknown","Unknown","Unknown","No","N/A",,"N/A","N/A","N/A","Outside_2","Outside"
"Appliance_00007591","SITE_00984","Room_00003143","Large Unusual Load","Freshwater Pump (I.E. House Supply)",6,,"No",,"Unknown","E63138","Tetra Whisper","T3","No","No","N/A",,"N/A","N/A","Water filter for aquariums, 11W each","Living Room_1","Living Room"
"Appliance_00007592","SITE_00984","Room_00003143","Large Unusual Load","Aquarium",1,,"No",,"Unknown","Unknown","Topfin","Air-8000","No","No","N/A",,"N/A","N/A","7W each","Living Room_1","Living Room"
"Appliance_00007593","SITE_00984","Room_00003143","Large Unusual Load","Freshwater Pump (I.E. House Supply)",2,,"No",,"Unknown","Unknown","Petco","King-225","No","No","N/A",,"N/A","N/A","10W each","Living Room_1","Living Room"
"Appliance_00007594","SITE_00984","Room_00003143","Large Unusual Load","Freshwater Pump (I.E. House Supply)",1,,"No",,"Unknown","Unknown","Unknown","Unknown","No","No","N/A",,"N/A","N/A","No nameplate information","Living Room_1","Living Room"
"Appliance_00007595","SITE_00984","Room_00003139","Large Unusual Load","Aquarium",1,,"Yes",2008,,"Unknown","Million Air","Ma-100","Unknown","No","N/A",,"N/A","N/A","N/A","Bedroom_6","Bedroom"
"Appliance_00007596","SITE_00987","Room_00003200","Large Unusual Load","Water Softner",1,,"No",,"Unknown","Unknown","Culligan","Unknown","Unknown","No","N/A",,"N/A","N/A","N/A","Outside_2","Outside"
"Appliance_00022607","SITE_00987","Room_00003200","Well Pump","N/A",,"N/A","No",,"Unknown","Unknown","Unknown","Unknown","Unknown","N/A","No",,"Unknown","Unknown","N/A","Outside_2","Outside"
"Appliance_00022608","SITE_00992","Room_00003263","Well Pump","N/A",,"N/A","No",,"Unknown","Unknown","Unknown","Unknown","No","N/A","Unknown",,"Unknown","Unknown","N/A","Outside_2","Outside"
"Appliance_00007597","SITE_00992","Room_00003260","Large Unusual Load","Water Conditioner",1,,"No",,"Unknown","Unknown","Autotrol","1550-TC","No","No","N/A",,"N/A","N/A","Water softener","Laundry_2","Laundry"
"Appliance_00022609","SITE_00995","Room_00003300","Well Pump","N/A",,"N/A","Unknown",,"Unknown","Unknown","Neptune","R900","No","N/A","Unknown",,"Unknown","Unknown","N/A","Other_2","Other"
