"PK_Mechanical_ID","CK_SiteID","Distance to Return Grilles","Distance to Return Grilles_notes","Filter Condition","HVAC System Mode","Plate Used","Return Duct Sealing","TrueFlow Probe Location","Secondary Probe Location","TrueFlow Plate Location","NSOP","NSOP_notes","Plate 14 Pressure Differential","Plate 14 Pressure Differential_notes","Plate 20 Pressure Differential","Plate 20 Pressure Differential_notes","Secondary Pressure","Secondary Pressure_notes","TrueFlow SOP","TrueFlow SOP_notes","System Airflow (CFM)","TrueFlow Notes"
"Mechanical_00014864","SITE_01436",,,"Fairly dirty","Cool","Plate #20 (20x20 to 24x24)",,"Dead-end corner of supply plenum (fits 'Best')","Side of return plenum (fits 'Best')","Filter slot next to air handler",88.1000,,,,6.9000,,-55.4000,,95.0000,,389.5574,"N/A"
"Mechanical_00014865","SITE_01444",,,,,,,,,,,,,,,,,,,,,"N/A"
"Mechanical_00014866","SITE_01468",,,,,,,,,,,,,,,,,,,,,"N/A"
"Mechanical_00014867","SITE_01494",10.0000,,"Some dirt","Fan only, high","Plate #20 (20x20 to 24x24)","Unsealed, no obvious holes or disconnects","Side of supply plenum (fits 'Best')","Side of return plenum (fits 'Best')","Return grille within 10 feet of air handler",174.2000,,,,31.6000,,69.4000,,185.9000,,838.0089,"N/A"
"Mechanical_00014868","SITE_01495",,,,,,,,,,,,,,,,,,,,,"N/A"
"Mechanical_00014869","SITE_01496",,,"Clean, like new","Cool","Plate #20 (20x20 to 24x24)",,"Dead-end corner of supply plenum (fits 'Best')","Side of return plenum (fits 'Best')","Filter slot at air handler",23.8000,,,,1.6000,,-8.6000,,22.2000,,201.6939,"N/A"
"Mechanical_00014871","SITE_01503",,,,,,,,,,,,,,,,,,,,,"N/A"
"Mechanical_00014872","SITE_01504",10.0000,,"Fairly dirty","Fan only, high","Plate #20 (20x20 to 24x24)","Sealed (mastic on all joints and seams)","Dead-end corner of supply plenum (fits 'Best')","Side of return plenum (fits 'Best')","Return grille within 10 feet of air handler",41.7000,,,,27.9000,,92.9000,,49.6000,,745.8475,"N/A"
"Mechanical_00014876","SITE_01589",,,"Fairly dirty","Fan only, high","Plate #20 (20x20 to 24x24)",,"Side of supply plenum (fits 'Best')","Side of supply plenum (fits 'Best')","Filter slot at air handler",51.7000,,,,79.8000,,211.0000,,56.4000,,1317.1277,"N/A"
"Mechanical_00014877","SITE_01702",,,,,,,,,,,,,,,,,,,,,"N/A"
"Mechanical_00014878","SITE_01727",,,,,,,,,,,,,,,,,,,,,"N/A"
"Mechanical_00014879","SITE_01652",,,,,,,,,,,,,,,,,,,,,"N/A"
"Mechanical_00014909","SITE_01665",,,,"Heat",,,,,,,,,,,,,,,,,"N/A"
"Mechanical_00014910","SITE_01895",,,,,,,,,,,,,,,,,,,,,"N/A"
"Mechanical_00014912","SITE_00003",,,,,,,,,,,,,,,,,,,,,"N/A"
"Mechanical_00014913","SITE_01197",,,"Some dirt","Fan only, high","Plate #20 (20x20 to 24x24)",,"Side of return plenum (fits 'Best')","Supply register (fits 'Secondary')","Filter slot at air handler",32.0000,,,,33.9000,,22.1000,,42.5000,,778.0385,"N/A"
"Mechanical_00014914","SITE_01996",,,"Clean, like new","Fan only, high","Plate #20 (20x20 to 24x24)",,"Supply register (fits 'Secondary')","Side of return plenum (fits 'Best')","Filter slot at air handler",14.4000,,,,66.3000,,42.8000,,8.6000,,1622.5927,"N/A"
"Mechanical_00014915","SITE_01955",,,,,,,,,,,,,,,,,,,,,"N/A"
"Mechanical_00014916","SITE_02039",,,"Clean, like new","Fan only, high","Plate #20 (20x20 to 24x24)",,"Side of supply plenum (fits 'Best')","Side of return plenum (fits 'Best')","Filter slot at air handler",80.9000,,,,38.8000,,28.1000,,82.0000,,952.8048,"N/A"
"Mechanical_00014917","SITE_01981",,,"Very dirty","Heat","Plate #14 (14x20 to 18x20)",,"Side of supply plenum (fits 'Best')","Side of return plenum (fits 'Best')","Filter slot at air handler",18.2000,,55.6000,,,,30.5000,,34.8000,,620.1280,"N/A"
"Mechanical_00014919","SITE_01978",,,,,,,,,,,,,,,,,,,,,"N/A"
"Mechanical_00014920","SITE_02018",,,"Clean, like new","Heat","Plate #20 (20x20 to 24x24)",,"Side of supply plenum (fits 'Best')","Side of return plenum (fits 'Best')","Filter slot next to air handler",23.3000,,,,50.7000,,56.9000,,22.9000,,1106.0759,"N/A"
"Mechanical_00014921","SITE_01964",,,,,,,,,,,,,,,,,,,,,"N/A"
"Mechanical_00014922","SITE_01952",,,"Fairly dirty","Heat","Plate #14 (14x20 to 18x20)",,"Side of supply plenum (fits 'Best')","Side of return plenum (fits 'Best')","Filter slot at air handler",22.7000,,43.3000,,,,46.2000,,22.8000,,755.0701,"N/A"
"Mechanical_00014923","SITE_02017",,,"Some dirt","Heat","Plate #14 (14x20 to 18x20)",,"Side of supply plenum (fits 'Best')","Side of return plenum (fits 'Best')","Filter slot at air handler",45.1000,,35.9000,,,,26.8000,,45.6000,,685.2530,"N/A"
"Mechanical_00014924","SITE_01934",,,"Some dirt","Heat","Plate #20 (20x20 to 24x24)",,"Side of return plenum (fits 'Best')","Side of supply trunk or branch duct (fits 'Secondary'","Filter slot at air handler",52.1000,,,,92.8000,,49.8000,,58.0000,,1406.0461,"N/A"
"Mechanical_00014925","SITE_01968",,,"Some dirt","Heat","Plate #20 (20x20 to 24x24)",,"Side of supply plenum (fits 'Best')","Return register","Filter slot at air handler",41.3000,,,,34.3000,,7.1000,,44.6000,,867.9114,"N/A"
"Mechanical_00014926","SITE_02032",,,,,,,,,,,,,,,,,,,,,"N/A"
"Mechanical_00014927","SITE_01699",,,"Clean, like new","Fan only, high","Plate #20 (20x20 to 24x24)",,"Side of return plenum (fits 'Best')","Supply register (fits 'Secondary')","Filter slot next to air handler",20.8000,,,,34.8000,,38.2000,,24.2000,,842.2370,"N/A"
"Mechanical_00014928","SITE_01950",,,,,,,,,,,,,,,,,,,,,"N/A"
"Mechanical_00014929","SITE_01995",,,,,,,,,,,,,,,,,,,,,"N/A"
"Mechanical_00014930","SITE_01951",,,,,,,,,,,,,,,,,,,,,"N/A"
"Mechanical_00014931","SITE_02006",,,"Fairly dirty","Fan only, high","Plate #20 (20x20 to 24x24)",,"Side of supply plenum (fits 'Best')","Side of return plenum (fits 'Best')","Filter slot at air handler",13.5000,,,,16.6000,,17.4000,,13.4000,,629.7806,"N/A"
"Mechanical_00014932","SITE_00011",,,,,,,,,,,,,,,,,,,,,"N/A"
"Mechanical_00014933","SITE_00006",,,,,,,,,,,,,,,,,,,,,"N/A"
"Mechanical_00014934","SITE_01695",,,"Very dirty","Fan only, high","Plate #20 (20x20 to 24x24)",,"Supply register (fits 'Secondary')","Other","Filter slot at air handler",21.4000,,,,28.3000,,4.2000,,25.7000,,747.5741,"N/A"
"Mechanical_00014935","SITE_00013",,,,,,,,,,,,,,,,,,,,,"N/A"
"Mechanical_00014936","SITE_00004",,,,,,,,,,,,,,,,,,,,,"N/A"
"Mechanical_00014937","SITE_00141",,,,,,,,,,,,,,,,,,,,,"N/A"
"Mechanical_00014967","SITE_01847",,,"Fairly dirty","Heat","Plate #14 (14x20 to 18x20)",,"Supply register (fits 'Secondary')","Side of return plenum (fits 'Best')","Filter slot at air handler",1.5000,,26.2000,,,,49.3000,,2.2000,,486.0520,"N/A"
"Mechanical_00014968","SITE_01823",,,"Some dirt","Fan only, high","Plate #14 (14x20 to 18x20)",,"Supply register (fits 'Secondary')","Side of return plenum (fits 'Best')","Filter slot at air handler",19.5000,,28.0000,,,,6.0000,,23.5000,,554.3196,"N/A"
"Mechanical_00014969","SITE_01852",,,"Very dirty","Fan only, high","Plate #14 (14x20 to 18x20)",,"Supply register (fits 'Secondary')","Side of return plenum (fits 'Best')","Filter slot at air handler",33.0000,,37.9000,,,,15.6000,,28.8000,,757.8411,"N/A"
"Mechanical_00014970","SITE_01826",,,,,,,,,,,,,,,,,,,,,"N/A"
