"PK_ApplianceID","CK_SiteID","CK_RoomID","Type","Year of Manufacture on Nameplate","Vintage","Vintage_notes","Serial","Make","Model","Energy Star","Game System Release","Used for DVD or Bluray","Used to access Internet","Wifi Enabled","Notes","Room Name","Room Type"
"Appliance_00007400","SITE_00817","Room_00014563","Game Console","No",,"Unknown","Unknown","Sony","Unknown","Unknown","Slim","No","No","No","N/A","Living Room_1","Living Room"
"Appliance_00007415","SITE_00819","Room_00014579","Game Console","No",,"Unknown","Unknown","Microsoft","Xbox360","No","Slim","No","Yes","Yes","N/A","Bedroom_1","Bedroom"
"Appliance_00007399","SITE_00822","Room_00014602","Game Console","No",,"Unknown","Unknown","Microsoft","Unknown","Unknown","Original","Yes","Yes","Yes","Couldnt access power","Bedroom_7","Bedroom"
"Appliance_00007394","SITE_00822","Room_00014598","Game Console","No",,"Unknown","Unknown","Microsoft","Unknown","Unknown","Original","No","Yes","Yes","N/A","Living Room_1","Living Room"
"Appliance_00007395","SITE_00822","Room_00014598","Game Console","No",,"Unknown","Unknown","Nintendo","Unknown","Unknown","Original","No","No","Yes","N/A","Living Room_1","Living Room"
"Appliance_00007402","SITE_00823","Room_00014609","Game Console","Yes",2011,,"N/A","Microsoft","03048441084033313409","Unknown","Original","Yes","No","Unknown","N/A","Living Room_1","Living Room"
"Appliance_00007403","SITE_00823","Room_00014609","Game Console","No",,"Unknown","Unknown","Microsoft","Unknown","Unknown","Original","Yes","No","No","N/A","Living Room_1","Living Room"
"Appliance_00007404","SITE_00823","Room_00014609","Game Console","No",,"Unknown","Unknown","Sony","Unknown","Unknown","Original","Yes","No","Unknown","N/A","Living Room_1","Living Room"
"Appliance_00007405","SITE_00824","Room_00014618","Game Console","No",,"Unknown","Unknown","Microsoft","Unknown","Unknown","Original","No","No","Unknown","N/A","Living Room_1","Living Room"
"Appliance_00007414","SITE_00828","Room_00014654","Game Console","No",,"Unknown","Unknown","Microsoft","Xbox360","No","Slim","Yes","Yes","Yes","N/A","Living Room_3","Living Room"
"Appliance_00007396","SITE_00831","Room_00014679","Game Console","No",,"Unknown","Unknown","Microsoft","Unknown","Unknown","Original","Yes","Yes","Yes","N/A","Living Room_1","Living Room"
"Appliance_00007397","SITE_00831","Room_00014679","Game Console","No",,"Unknown","Unknown","Microsoft","Unknown","Unknown","Slim","No","No","Yes","N/A","Living Room_1","Living Room"
"Appliance_00007514","SITE_00847","Room_00014811","Game Console","No",,"Unknown","Unknown","Sony","Unknown","Unknown","Slim","No","Yes","Yes","Could not access","Bedroom_7","Bedroom"
"Appliance_00007515","SITE_00847","Room_00014816","Game Console","Yes",2011,,"N/A","Microsoft","1439","No","Slim","Yes","Yes","Yes","N/A","Living Room_1","Living Room"
"Appliance_00007398","SITE_00853","Room_00014875","Game Console","No",,"Unknown","Unknown","Nintendo","Unknown","Unknown","Original","No","No","Yes","N/A","Family Room_1","Family Room"
"Appliance_00007516","SITE_00856","Room_00014918","Game Console","No",,"Unknown","Unknown","Nintendo","Unknown","Unknown","Unknown","No","Unknown","Unknown","N/A","Living Room_3","Living Room"
"Appliance_00007517","SITE_00857","Room_00014936","Game Console","Yes",2012,,"N/A","Nintendo","WUP-101(02)","Unknown","Unknown","No","No","No","N/A","Living Room_1","Living Room"
"Appliance_00007518","SITE_00859","Room_00014976","Game Console","Yes",2013,,"N/A","Microsoft","1540","No","Original","Yes","No","Yes","N/A","Living Room_1","Living Room"
"Appliance_00007519","SITE_00859","Room_00014976","Game Console","Yes",2015,,"N/A","Sony","Cuh-1215a","No","Original","No","No","Yes","N/A","Living Room_1","Living Room"
"Appliance_00006817","SITE_00862","Room_00001823","Game Console","No",,"Unknown","Unknown","Nintendo","64","No","Original","No","No","No","N/A","Living Room_1","Living Room"
"Appliance_00006818","SITE_00862","Room_00001823","Game Console","No",,"Unknown","Unknown","Sony","Unknown","No","Slim","No","No","No","N/A","Living Room_1","Living Room"
"Appliance_00006819","SITE_00862","Room_00001823","Game Console","No",,"Unknown","Unknown","Nintendo","Unknown","No","Original","No","No","No","N/A","Living Room_1","Living Room"
"Appliance_00006820","SITE_00863","Room_00001834","Game Console","No",,"Unknown","399933653348","Microsoft","1540","No","Original","Yes","No","No","N/A","Living Room_1","Living Room"
"Appliance_00006821","SITE_00866","Room_00001866","Game Console","No",,"Unknown","HU6453263","Sony","Unknown","Unknown","Slim","No","No","No","N/A","Bedroom_1","Bedroom"
"Appliance_00006822","SITE_00874","Room_00001965","Game Console","No",,"Unknown","HU6781788","Sony","SCPH-79001","No","Slim","No","No","No","N/A","Living Room_1","Living Room"
"Appliance_00006823","SITE_00881","Room_00002052","Game Console","No",,"Unknown","U4832843","Sony","SCPH-101","No","Original","No","No","No","N/A","Laundry_1","Laundry"
"Appliance_00006824","SITE_00881","Room_00002047","Game Console","Yes",2011,,"Unknown","Microsoft","RCPMI1410-0293","No","Slim","Yes","No","No","N/A","Bedroom_1","Bedroom"
"Appliance_00006825","SITE_00886","Room_00002106","Game Console","Yes",2013,,"Unknown","Sony","Cech-4201a","Unknown","Unknown","No","No","Yes","N/A","Living Room_1","Living Room"
"Appliance_00006826","SITE_00886","Room_00002106","Game Console","No",,"Unknown","FW10853923","Nintendo","Wup-101(02)","Unknown","Unknown","No","No","Yes","N/A","Living Room_1","Living Room"
"Appliance_00006827","SITE_00886","Room_00002101","Game Console","Yes",2008,,"Unknown","Sony","Unknown","Unknown","Original","Unknown","Unknown","Unknown","N/A","Bedroom_3","Bedroom"
"Appliance_00006828","SITE_00888","Room_00002128","Game Console","No",,"Unknown","086113254448","Microsoft","1540","Unknown","Original","Unknown","Yes","Yes","N/A","Living Room_1","Living Room"
"Appliance_00006829","SITE_00897","Room_00002218","Game Console","Yes",2011,,"Unknown","Microsoft","1439","No","Slim","Unknown","Unknown","Unknown","N/A","Living Room_1","Living Room"
"Appliance_00006830","SITE_00897","Room_00002218","Game Console","No",,"Unknown","LU72371165","Nintendo","Rvl-001 (usa)","No","Unknown","Unknown","Unknown","Unknown","N/A","Living Room_1","Living Room"
"Appliance_00006831","SITE_00898","Room_00002235","Game Console","No",,"Unknown","Unknown","Sony","Cech-4201b","No","Slim","Yes","No","No","N/A","Living Room_1","Living Room"
"Appliance_00006832","SITE_00900","Room_00002258","Game Console","Yes",2008,,"Unknown","Sony","Cechk01","Unknown","Original","No","No","Unknown","N/A","Living Room_1","Living Room"
"Appliance_00006833","SITE_00915","Room_00002415","Game Console","Yes",2006,,"Unknown","Nintendo","RVL-001(USA)","No","Unknown","No","No","Yes","N/A","Bedroom_1","Bedroom"
"Appliance_00006834","SITE_00921","Room_00002483","Game Console","Yes",2014,,"Unknown","Sony","CUH1001A","Unknown","Original","Yes","Yes","Yes","N/A","Bedroom_1","Bedroom"
"Appliance_00006835","SITE_00921","Room_00002484","Game Console","Yes",2006,,"Unknown","Sony","Unknown","No","Original","Yes","Yes","Yes","N/A","Bedroom_2","Bedroom"
"Appliance_00006836","SITE_00921","Room_00002486","Game Console","Yes",2012,,"Unknown","Microsoft","1439","No","Slim","Yes","Yes","No","N/A","Bedroom_4","Bedroom"
"Appliance_00006837","SITE_00930","Room_00002593","Game Console","Yes",2011,,"Unknown","Microsoft","1439","No","Slim","No","No","No","N/A","Living Room_1","Living Room"
"Appliance_00006980","SITE_00931","Room_00015053","Game Console","Yes",2015,,"N/A","Sony","CUH1215A","No","Slim","Yes","Yes","Yes","N/A","Living Room_1","Living Room"
"Appliance_00006838","SITE_00936","Room_00002655","Game Console","Yes",2006,,"Unknown","Nintendo","RVL-101(USA)","Unknown","Unknown","No","No","No","N/A","Living Room_1","Living Room"
"Appliance_00006839","SITE_00939","Room_00002687","Game Console","No",,"Unknown","KSH70013636","Nintendo","Rvl-101","Unknown","Unknown","No","Yes","Yes","N/A","Living Room_1","Living Room"
