"PK_Envelope_ID","CK_SiteID","Ceiling Type","Ceiling Area","Ceiling Area_notes","Type of Area Above Ceiling","Ceiling Accessible","Ceiling Insulated","Ceiling Insulation Type 1","Ceiling Insulation Thickness 1","Ceiling Insulation Thickness 1_notes","Ceiling Insulation Condition 1","Ceiling Insulation Condition 1_notes","Ceiling Insulation Type 2","Ceiling Insulation Thickness 2","Ceiling Insulation Thickness 2_notes","Ceiling Insulation Condition 2","Ceiling Insulation Condition 2_notes","Ceiling Insulation Type 3","Ceiling Insulation Thickness 3","Ceiling Insulation Thickness 3_notes","Ceiling Insulation Condition 3","Ceiling Insulation Condition 3_notes","Ceiling Insulation R-Value","Ceiling Insulation R-Value_notes","Ceiling U-Value","Ceiling U-Value_notes","Ceiling Heat Loss Rate (UA)","Ceiling Heat Loss Rate (UA)_notes","Ceiling Notes"
"Envelope_00004510","SITE_01619","Attic",1595.0000,,"N/A","No","Unknown","N/A",,"N/A",,"N/A","N/A",,"N/A",,"N/A","N/A",,"N/A",,"N/A",,"Unknown",0.0763,"Estimated based on homes of similar vintage",121.7146,,"N/A"
"Envelope_00004103","SITE_01620","Sloped / Vaulted (no attic)",112.0000,,"N/A","No","Unknown","N/A",,"N/A",,"N/A","N/A",,"N/A",,"N/A","N/A",,"N/A",,"N/A",,"Unknown",0.1153,"Estimated based on homes of similar vintage",12.9088,,"N/A"
"Envelope_00004104","SITE_01620","Sloped / Vaulted (no attic)",160.0000,,"N/A","No","Unknown","N/A",,"N/A",,"N/A","N/A",,"N/A",,"N/A","N/A",,"N/A",,"N/A",,"Unknown",0.1153,"Estimated based on homes of similar vintage",18.4411,,"N/A"
"Envelope_00004105","SITE_01620","Attic",592.0000,,"N/A","Yes","Yes","Blown cellulose",2.0000,,,"Unknown","Cellulose batts",16.0000,,1.0000,,"N/A",,"N/A",,"N/A",46.8300,,0.0763,"Estimated based on homes of similar vintage",45.1756,,"N/A"
"Envelope_00004153","SITE_01621","Attic",709.0000,,"N/A","Yes","Unknown","N/A",,"N/A",,"N/A","N/A",,"N/A",,"N/A","N/A",,"N/A",,"N/A",,"Unknown",0.0763,"Estimated based on homes of similar vintage",54.1038,,"Only slightly accessible, blocked by whole house vent fan hardware"
"Envelope_00004174","SITE_01622","Attic",1127.5000,,"N/A","Yes","Yes","Fiberglass batts",5.5000,,0.9000,,"N/A",,"N/A",,"N/A","N/A",,"N/A",,"N/A",18.7600,,0.1004,,113.1649,,"N/A"
"Envelope_00004061","SITE_01623","Attic",696.0000,,"N/A","No","Yes","Blown cellulose",4.0000,,,"Unknown","N/A",,"N/A",,"N/A","N/A",,"N/A",,"N/A",13.6700,,0.0705,,49.0681,,"4 inches of clown in cellulose in attic according to homeowner"
"Envelope_00004122","SITE_01624","Attic",922.0000,,"N/A","No","Unknown","N/A",,"N/A",,"N/A","N/A",,"N/A",,"N/A","N/A",,"N/A",,"N/A",,"Unknown",0.0763,"Estimated based on homes of similar vintage",70.3579,,"N/A"
"Envelope_00007898","SITE_01625","Adiabatic",523.0000,,"Unknown","No","No","N/A",,"N/A",,"N/A","N/A",,"N/A",,"N/A","N/A",,"N/A",,"N/A",0.0000,,0.0000,,0.0000,,"Not insulated"
"Envelope_00004138","SITE_01626","Attic",1014.0000,,"N/A","Yes","Yes","Blown mineral wool",3.5000,,1.0000,,"N/A",,"N/A",,"N/A","N/A",,"N/A",,"N/A",10.0900,,0.0909,,92.1302,,"N/A"
