"PK_ApplianceID","CK_SiteID","CK_RoomID","Type","Year of Manufacture on Nameplate","Vintage","Vintage_notes","Serial","Make","Model","Energy Star","Number of Pieces of Audio Equipment","Number of Pieces of Audio Equipment_notes","Contains Suboofer","Does Subwoofer have indicator light or warm to touch","Audio Wifi Enabled","Audio Connected to TV","Notes","Room Name","Room Type"
"Appliance_00000741","SITE_00566","Room_00011261","Audio Equipment","No",,"Unknown","134-1293001919704","Optimus","System -745","No",5.0000,,"No","N/A","No","No","N/A","Living Room_3","Living Room"
"Appliance_00000742","SITE_00566","Room_00011261","Audio Equipment","No",,"Unknown","8814035","Sony","Ss-f6000p","No",2.0000,,"No","N/A","No","Yes","N/A","Living Room_3","Living Room"
"Appliance_00000743","SITE_00567","Room_00011269","Audio Equipment","No",,"Unknown","8828309","Sony","Str-d550z","No",4.0000,,"No","N/A","No","No","N/A","Office_1","Office"
"Appliance_00000744","SITE_00568","Room_00011287","Audio Equipment","No",,"Unknown","Unknown","Bose","Unknown","Unknown",5.0000,,"Yes","No","No","Unknown","N/A","Living Room_1","Living Room"
"Appliance_00023872","SITE_00570","Room_00011339","Audio Equipment","No",,"Unknown","Unknown","LG","Unknown","Unknown",2.0000,,"Yes","Yes","Unknown","Yes","Sound bar with sub","Family Room_1","Family Room"
"Appliance_00000745","SITE_00574","Room_00011403","Audio Equipment","No",,"Unknown","Unknown","Bose","Unknown","Unknown",2.0000,,"No","N/A","No","Yes","N/A","Living Room_1","Living Room"
"Appliance_00000958","SITE_00577","Room_00011454","Audio Equipment","No",,"Unknown","Unknown","Yamaha","Unknown","Unknown",5.0000,,"No","N/A","No","Yes","Hooked up to speakers in walls (4)","Living Room_1","Living Room"
"Appliance_00000946","SITE_00579","Room_00011490","Audio Equipment","No",,"Unknown","Unknown","Marantz","SR5600","Unknown",4.0000,,"Yes","Yes","No","Yes","N/A","Bedroom_4","Bedroom"
"Appliance_00000930","SITE_00587","Room_00011571","Audio Equipment","No",,"Unknown","Unknown","Sony","STRDE197","Yes",6.0000,,"No","N/A","No","Yes","N/A","Living Room_1","Living Room"
"Appliance_00000746","SITE_00590","Room_00011610","Audio Equipment","No",,"Unknown","TSPC-B586AWZZ","Sharp","ht-sl75","No",3.0000,,"Yes","No","No","Yes","N/A","Living Room_1","Living Room"
"Appliance_00000747","SITE_00590","Room_00011610","Audio Equipment","Yes",2005,,"N/A","Philips","hts3400/37","No",1.0000,,"Yes","No","No","No","2nd subwoofer","Living Room_1","Living Room"
"Appliance_00000924","SITE_00591","Room_00011629","Audio Equipment","No",,"Unknown","Unknown","Cambridge Soundworks","Unknown","No",2.0000,,"No","N/A","No","No","N/A","Bedroom_2","Bedroom"
"Appliance_00000925","SITE_00591","Room_00011631","Audio Equipment","No",,"Unknown","Unknown","Bose","Unknown","No",1.0000,,"No","N/A","No","No","N/A","Bathroom_1","Bathroom"
"Appliance_00000953","SITE_00592","Room_00011633","Audio Equipment","No",,"Unknown","Unknown","Sony","Unknown","Unknown",3.0000,,"No","N/A","No","Yes","N/A","Living Room_1","Living Room"
"Appliance_00000932","SITE_00594","Room_00011659","Audio Equipment","No",,"Unknown","01915878343 0145A","Bose","VCS-10","No",3.0000,,"No","N/A","No","Yes","N/A","Living Room_1","Living Room"
"Appliance_00000933","SITE_00594","Room_00011659","Audio Equipment","No",,"Unknown","Unknown","Onkyo","TX-SV444","No",1.0000,,"No","N/A","No","Yes","N/A","Living Room_1","Living Room"
"Appliance_00000940","SITE_00595","Room_00011673","Audio Equipment","No",,"Unknown","LJ3615837S","Pioneer","Vsx-5900s","Unknown",3.0000,,"Yes","Yes","No","No","N/A","Living Room_2","Living Room"
"Appliance_00000966","SITE_00596","Room_00011687","Audio Equipment","No",,"Unknown","Unknown","Accurian","31-504B","Unknown",4.0000,,"No","N/A","Yes","No","N/A","Bedroom_2","Bedroom"
"Appliance_00000748","SITE_00598","Room_00011712","Audio Equipment","No",,"Unknown","TT41A023695","Panasonic","Sb-fs670","No",2.0000,,"No","N/A","No","No","N/A","Family Room_1","Family Room"
"Appliance_00000749","SITE_00598","Room_00011712","Audio Equipment","No",,"Unknown","TT41A023695","Panasonic","Sb-fs670","No",3.0000,,"Yes","No","No","Yes","N/A","Family Room_1","Family Room"
"Appliance_00000943","SITE_00599","Room_00011724","Audio Equipment","No",,"Unknown","Unknown","Kenwood","KR-V7020","Unknown",3.0000,,"No","N/A","No","Yes","N/A","Living Room_1","Living Room"
"Appliance_00000750","SITE_00601","Room_00011747","Audio Equipment","No",,"Unknown","HW5CA 24216","Panasonic","Sb-ch71","No",2.0000,,"No","N/A","No","Yes","N/A","Living Room_1","Living Room"
"Appliance_00000751","SITE_00601","Room_00011747","Audio Equipment","No",,"Unknown","Unknown","Logitech","S-00135","No",2.0000,,"No","N/A","No","Yes","N/A","Living Room_1","Living Room"
"Appliance_00000945","SITE_00603","Room_00011783","Audio Equipment","No",,"Unknown","023287","General Electric","7-4135a","Unknown",1.0000,,"No","N/A","No","No","N/A","Living Room_1","Living Room"
"Appliance_00000954","SITE_00604","Room_00011793","Audio Equipment","No",,"Unknown","Unknown","Yamaha","Unknown","Unknown",3.0000,,"Yes","No","No","Yes","N/A","Family Room_1","Family Room"
