"PK_ApplianceID","CK_SiteID","CK_RoomID","Type","Year of Manufacture on Nameplate","Vintage","Vintage_notes","Serial","Make","Model","Energy Star","Primary","Stove Fuel","Oven Fuel","Wifi Enabled","Notes","Room Name","Room Type"
"Appliance_00013405","SITE_01908","Room_00023158","Stove/Oven","Unknown",,"Unknown","Unknown","Modern Maid","Unknown","No","Yes","Gas","Gas","No","N/A","Kitchen_1","Kitchen"
"Appliance_00013656","SITE_01909","Room_00023174","Stove/Oven","Unknown",,"Unknown","Unknown","Kenmore","790.94463700","No","Yes","Electric","Electric","No","N/A","Kitchen_1","Kitchen"
"Appliance_00013401","SITE_01910","Room_00023183","Stove/Oven","Yes",2001,,"N/A","Frigidaire","Fed367aba","No","Yes","Electric","Electric","No","N/A","Kitchen_1","Kitchen"
"Appliance_00013652","SITE_01911","Room_00023204","Stove/Oven","Unknown",,"Unknown","Unknown","Hotpoint","Unknown","Unknown","No","Gas","Gas","No","N/A","Family Room_1","Family Room"
"Appliance_00013653","SITE_01911","Room_00023205","Stove/Oven","Unknown",,"Unknown","Unknown","KitchenAid","Unknown","Unknown","Yes","Gas","No oven","No","N/A","Kitchen_1","Kitchen"
"Appliance_00013654","SITE_01911","Room_00023205","Stove/Oven","Unknown",,"Unknown","Unknown","KitchenAid","Koce507ess05","No","Yes","No Stove","Gas","No","N/A","Kitchen_1","Kitchen"
"Appliance_00013399","SITE_01912","Room_00023212","Stove/Oven","Unknown",,"Unknown","Unknown","Kenmore","911.9354590","No","Yes","Electric","Electric","No","N/A","Kitchen_1","Kitchen"
"Appliance_00013395","SITE_01913","Room_00023223","Stove/Oven","Unknown",,"Unknown","Unknown","Kenmore","911.93578891","No","Yes","Electric","Electric","No","N/A","Kitchen_1","Kitchen"
"Appliance_00013716","SITE_01914","Room_00023238","Stove/Oven","Unknown",,"Unknown","Unknown","Amana","Aocs3040ss","No","Yes","No Stove","Electric","No","N/A","Kitchen_1","Kitchen"
"Appliance_00013717","SITE_01914","Room_00023238","Stove/Oven","Unknown",,"Unknown","Unknown","Jenn Air","Unknown","Unknown","Yes","Electric","No oven","No","N/A","Kitchen_1","Kitchen"
"Appliance_00013396","SITE_01915","Room_00023250","Stove/Oven","Yes",2006,,"N/A","Whirlpool","GMC305PRS01","No","Yes","Gas","Electric","No","N/A","Kitchen_1","Kitchen"
