"SITEID","Building_Category","State","Site_Case_Weight","Ownership","Vintage","Conditioned_Area","COHORT","county","City","subregion","zip","utility_name","ut_class","utility_id","stratum","pop_ct","unit_multiplicity_ct","ALT_svy_wt"
SITE_00697,Single Family (4 or fewer units),WA,3805.5,Own / buying,1937,2242,SF,Spo,SPOKANE,EW,99205,Avista Corp,non-BPA,20169,EWA.,161299,1,2880.339286
SITE_00698,Single Family (4 or fewer units),WA,3805.5,Own / buying,1944,1674,SF,Spo,SPOKANE,EW,99212,Avista Corp,non-BPA,20169,EWA.,161299,1,2880.339286
SITE_00699,Single Family (4 or fewer units),WA,3805.5,Own / buying,1935,2238,SF,Yak,YAKIMA,EW,98902,PacifiCorp,non-BPA,14354,EWA.,59052,1,7381.5
SITE_00700,Single Family (4 or fewer units),WA,3805.5,Own / buying,1982,1504,SF,Spo,LIBERTY,EW,99019,Avista Corp,non-BPA,20169,EWA.,161299,1,2880.339286
SITE_00701,Manufactured,WA,1824.63,Own / buying,2009,1080,MH,Kit,ELLENSBU,EW,98926,PUD No 1 of Ki,BPA,10326,WA.1,1769,1,589.6666667
SITE_00702,Single Family (4 or fewer units),WA,3805.5,Rent,1970,1040,SF,Ada,OTHELLO,EW,99344,Avista Corp,non-BPA,20169,EWA.,118386,1,9106.615385
SITE_00703,Single Family (4 or fewer units),WA,3931.6,Own / buying,2002,3287,SF,Fra,PASCO,EW,99301,Big Bend Elect,BPA,1723,EWA.,92396,1,2639.885714
SITE_00704,Single Family (4 or fewer units),WA,3931.6,Rent,1970,1019,SF,Ben,KENNEWIC,EW,99337,PUD No 1 of Be,BPA,1579,EWA.,92396,1,2639.885714
SITE_00705,Single Family (4 or fewer units),WA,3805.5,Own / buying,1963,2633.8,SF,Spo,SPOKANE,EW,99203,Avista Corp,non-BPA,20169,EWA.,161299,1,2880.339286
SITE_00706,Single Family (4 or fewer units),WA,3931.6,Own / buying,1993,1730,SF,Fra,PASCO,EW,99301,PUD No 1 of Fr,BPA,6716,EWA.,92396,1,2639.885714
SITE_00707,Single Family (4 or fewer units),WA,3805.5,Own / buying,2008,4318,SF,Spo,COLBERT,EW,99005,Avista Corp,non-BPA,20169,EWA.,161299,1,2880.339286
SITE_00708,Single Family (4 or fewer units),WA,3931.6,Own / buying,1963,1400,SF,Ben,KENNEWIC,EW,99336,PUD No 1 of Be,BPA,1579,EWA.,92396,1,2639.885714
SITE_00709,Single Family (4 or fewer units),WA,3931.6,Own / buying,1975,1848,SF,Spo,SPOKANE,EW,99037,Vera Irrigatio,BPA,19784,EWA.,161299,1,2880.339286
SITE_00710,Single Family (4 or fewer units),WA,3931.6,Own / buying,1999,2944,SF,Fra,MESA,EW,99343,PUD No 1 of Fr,BPA,6716,EWA.,92396,1,2639.885714
SITE_00711,Single Family (4 or fewer units),WA,3931.6,Own / buying,2015,3524,SF,Spo,SPOKANE,EW,99224,Inland Power &,BPA,8699,EWA.,161299,1,2880.339286
SITE_00712,Single Family (4 or fewer units),WA,3805.5,Own / buying,2012,2622,SF,Spo,SPOKANE,EW,99223,Avista Corp,non-BPA,20169,EWA.,161299,1,2880.339286
SITE_00713,Single Family (4 or fewer units),WA,3805.5,Own / buying,2007,1575,SF,Wal,COLLEGE,EW,99324,PacifiCorp,non-BPA,14354,EWA.,92396,1,2639.885714
SITE_00714,Single Family (4 or fewer units),WA,3931.6,Own / buying,1998,1583,SF,Ben,RICHLAND,EW,99354,City of Richla,BPA,15979,EWA.,92396,1,2639.885714
