"PK_Mechanical_ID","CK_SiteID","System Type","Technology","Size (Gallons)","Size (Gallons)_notes","Make","Model","Year Manufactured on Nameplate","Year Manufactured","Year Manufactured_notes","Serial Number","Provided by Heating System","Supplemental Solar Water Heating","Fuel Type","Capacity","Capacity_notes","Capacity Units","Energy Factor","Energy Factor_notes","HPWH in Conditioned Space","HPWH Conditioned Space Type","HPWH Conditioned Space Size","HPWH Conditioned Space Size_notes","HPWH Relation to Space Heating Unit","HPWH Ducting","Location","Serves Whole House","Within 4 feet of a drain","Drain Type","Tank Wrap","Tank Wrap Thickness","Tank Wrap Thickness_notes","Pipe Wrap","Pipe Wrap Type","Pipe Wrap Length","Pipe Wrap Length_notes","Pipe Wrap Thickness","Pipe Wrap Thickness_notes","Can Exhaust to Garage or Get Supply Air from Home Interior","In a room greater than 1,000 cubic feet","Eight feet of Vertical Space","Wifi Enabled"
"Mechanical_00009924","SITE_00895","Storage Water Heater","Fossil Fuel Non-Condensing",40.0000,,"Unknown","Unknown","No",,"Unknown","Unknown","No","No","Natural Gas",,"Unknown","Btuh",,"Unknown","N/A","N/A",,"N/A","N/A","N/A","Main House","Yes","No","N/A","Yes",2.0000,,"Yes","Polyethylene Foam",6.0000,,1.0000,,"No","No","No","No"
"Mechanical_00009925","SITE_00896","Storage Water Heater","Electric Resistance",50.0000,,"Bradford White","Re350t6","No",2015,,"MF36420132","No","No","Electric",4.5000,,"kW",0.9200,,"N/A","N/A",,"N/A","N/A","N/A","Basement","Yes","Yes","Floor drain","No",,"N/A","No","N/A",,"N/A",,"N/A","Yes","Yes","Yes","No"
"Mechanical_00009926","SITE_00897","Storage Water Heater","Fossil Fuel Non-Condensing",50.0000,,"Rheem","M081514250","Yes",2015,,"N/A","No","No","Natural Gas",38000.0000,,"Btuh",,"Unknown","N/A","N/A",,"N/A","N/A","N/A","Garage","Yes","No","N/A","No",,"N/A","No","N/A",,"N/A",,"N/A","Yes","Yes","Yes","No"
"Mechanical_00009927","SITE_00898","Storage Water Heater","Fossil Fuel Non-Condensing",40.0000,,"Reliance","640NHDST2102","No",2010,,"1028A009095","No","No","Propane",32000.0000,,"Btuh",0.5900,,"N/A","N/A",,"N/A","N/A","N/A","Main House","No","Yes","Plumbed drain","No",,"N/A","No","N/A",,"N/A",,"N/A","No","No","No","No"
"Mechanical_00009928","SITE_00899","Storage Water Heater","Fossil Fuel Condensing",50.0000,,"Rheem","21T40DV","No",,"Unknown","Unknown","No","No","Natural Gas",30000.0000,,"Btuh",0.5900,,"N/A","N/A",,"N/A","N/A","N/A","Main House","Yes","No","N/A","Yes",2.0000,,"No","N/A",,"N/A",,"N/A","No","No","Yes","No"
"Mechanical_00009929","SITE_00900","Storage Water Heater","Electric Resistance",40.0000,,"Reliance","640DORS","No",2013,,"1350A028371","No","No","Electric",4.5000,,"kW",0.9200,,"N/A","N/A",,"N/A","N/A","N/A","Unknown","Yes","No","N/A","Yes",1.5000,,"No","N/A",,"N/A",,"N/A","Yes","No","No","No"
"Mechanical_00010073","SITE_01378","Storage Water Heater","Electric Resistance",50.0000,,"Whirlpool","E1f50rd045v","No",2014,,"1440100263438","No","No","Electric",,"Unknown","kW",0.9000,,"N/A","N/A",,"N/A","N/A","N/A","Main House","Yes","No","N/A","No",,"N/A","No","N/A",,"N/A",,"N/A","Yes","No","No","No"
"Mechanical_00010074","SITE_01379","Storage Water Heater","Electric Resistance",50.0000,,"Ruud","Pe2-52-2","Yes",2006,,"N/A","Yes","No","Electric",4.5000,,"kW",0.9100,,"N/A","N/A",,"N/A","N/A","N/A","Garage","Yes","No","N/A","No",,"N/A","No","N/A",,"N/A",,"N/A","Yes","Yes","Yes","No"
"Mechanical_00010075","SITE_01380","Storage Water Heater","Electric Resistance",50.0000,,"AO Smith","Ect 52 200","No",2008,,"0802J002888","Unknown","No","Electric",4.5000,,"kW",0.9100,,"N/A","N/A",,"N/A","N/A","N/A","Main House","Yes","Yes","Plumbed drain","No",,"N/A","No","N/A",,"N/A",,"N/A","No","No","No","No"
"Mechanical_00010076","SITE_01381","Storage Water Heater","Electric Resistance",50.0000,,"Whirlpool","E50r6-45 100","No",2015,,"1545102197203","No","No","Electric",4.5000,,"kW",0.9200,,"N/A","N/A",,"N/A","N/A","N/A","Main House","Yes","No","N/A","No",,"N/A","No","N/A",,"N/A",,"N/A","Yes","No","Yes","No"
