NAICS,REGION,DESCRIPTION,FLOORAREA[Msf],SITES[unit],FLOORAREA_PER_SITE[sf/unit],BUILDINGS[unit],BUILDINGS_PER_SITE[unit/unit],PURCHASES[GWh],TRANSFERS[GWh],GENERATION[GWh],SALES[GWh],NET_DEMAND[GWh],REPORTED_ELECTRIC[GWh],REPORTED_ELECTRIFICATION[pu],UNREPORTED_ELECTRIC[GWh],UNREPORTED_ELECTRIFICATION[pu],A,B,C,D,E,I,Z
333,MIDWEST,Machinery,,,64461.3,,1.7,10646.0,0.0,326.0,68.0,10903.0,23424.0,0.02388866120218579,124.0,0.44025806451612903,0.16,0.33999999999999997,0.02,0.0,0.18,0.02,0.27999999999999997
333,SOUTH,Machinery,,,64461.3,,1.7,7795.0,0.0,0.0,0.0,7795.0,23424.0,0.02388866120218579,124.0,0.44025806451612903,0.16,0.33999999999999997,0.02,0.0,0.18,0.02,0.27999999999999997
333,WEST,Machinery,,,64461.3,,1.7,1977.0,0.0,,0.0,1987.0,23424.0,0.02388866120218579,124.0,0.44025806451612903,0.16,0.33999999999999997,0.02,0.0,0.18,0.02,0.27999999999999997
334,NERC,Computer and Electronic Products,528.0,6831.0,80438.1,11641.0,1.8,32802.0,0.0,63.0,0.0,32864.0,32820.0,0.016841681901279708,722.0,0.023628808864265927,0.13333333333333333,0.2833333333333333,0.016666666666666666,0.016666666666666666,0.15,0.03333333333333333,0.36666666666666664
334,NORTHEAST,Computer and Electronic Products,,,80438.1,,1.8,5593.0,0.0,0.0,0.0,5593.0,32820.0,0.016841681901279708,722.0,0.023628808864265927,0.13333333333333333,0.2833333333333333,0.016666666666666666,0.016666666666666666,0.15,0.03333333333333333,0.36666666666666664
334,MIDWEST,Computer and Electronic Products,,,80438.1,,1.8,4447.0,0.0,,0.0,4467.0,32820.0,0.016841681901279708,722.0,0.023628808864265927,0.13333333333333333,0.2833333333333333,0.016666666666666666,0.016666666666666666,0.15,0.03333333333333333,0.36666666666666664
334,SOUTH,Computer and Electronic Products,,,80438.1,,1.8,7076.0,0.0,0.0,0.0,7076.0,32820.0,0.016841681901279708,722.0,0.023628808864265927,0.13333333333333333,0.2833333333333333,0.016666666666666666,0.016666666666666666,0.15,0.03333333333333333,0.36666666666666664
334,WEST,Computer and Electronic Products,,,80438.1,,1.8,15686.0,0.0,43.0,0.0,15729.0,32820.0,0.016841681901279708,722.0,0.023628808864265927,0.13333333333333333,0.2833333333333333,0.016666666666666666,0.016666666666666666,0.15,0.03333333333333333,0.36666666666666664
335,NERC,"Electrical Equip., Appliances, and Components",268.0,3298.0,88674.3,4901.0,1.5,11690.0,,,0.0,11764.0,11764.0,0.02059265555933356,275.0,0.024814545454545454,0.16,0.33999999999999997,0.02,0.0,0.18,0.02,0.27999999999999997
335,NORTHEAST,"Electrical Equip., Appliances, and Components",,,88674.3,,1.5,2224.0,,,0.0,2297.0,11764.0,0.02059265555933356,275.0,0.024814545454545454,0.16,0.33999999999999997,0.02,0.0,0.18,0.02,0.27999999999999997
335,MIDWEST,"Electrical Equip., Appliances, and Components",,,88674.3,,1.5,3284.0,0.0,0.0,0.0,3284.0,11764.0,0.02059265555933356,275.0,0.024814545454545454,0.16,0.33999999999999997,0.02,0.0,0.18,0.02,0.27999999999999997
335,SOUTH,"Electrical Equip., Appliances, and Components",,,88674.3,,1.5,5408.0,0.0,0.0,0.0,5408.0,11764.0,0.02059265555933356,275.0,0.024814545454545454,0.16,0.33999999999999997,0.02,0.0,0.18,0.02,0.27999999999999997
335,WEST,"Electrical Equip., Appliances, and Components",,,88674.3,,1.5,774.0,0.0,0.0,0.0,774.0,11764.0,0.02059265555933356,275.0,0.024814545454545454,0.16,0.33999999999999997,0.02,0.0,0.18,0.02,0.27999999999999997
336,NERC,Transportation Equipment,1162.0,6603.0,189754.8,17854.0,2.9,45169.0,0.0,452.0,37.0,45584.0,45185.0,0.02401274759322784,710.0,0.06727887323943663,0.13333333333333333,0.2833333333333333,0.016666666666666666,0.016666666666666666,0.15,0.03333333333333333,0.36666666666666664
336,NORTHEAST,Transportation Equipment,,,189754.8,,2.9,2982.0,0.0,135.0,1.0,3116.0,45185.0,0.02401274759322784,710.0,0.06727887323943663,0.13333333333333333,0.2833333333333333,0.016666666666666666,0.016666666666666666,0.15,0.03333333333333333,0.36666666666666664
336,MIDWEST,Transportation Equipment,,,189754.8,,2.9,20099.0,0.0,,0.0,20242.0,45185.0,0.02401274759322784,710.0,0.06727887323943663,0.13333333333333333,0.2833333333333333,0.016666666666666666,0.016666666666666666,0.15,0.03333333333333333,0.36666666666666664
336,SOUTH,Transportation Equipment,,,189754.8,,2.9,16928.0,0.0,90.0,4.0,17014.0,45185.0,0.02401274759322784,710.0,0.06727887323943663,0.13333333333333333,0.2833333333333333,0.016666666666666666,0.016666666666666666,0.15,0.03333333333333333,0.36666666666666664
336,WEST,Transportation Equipment,,,189754.8,,2.9,5159.0,0.0,,32.0,5211.0,45185.0,0.02401274759322784,710.0,0.06727887323943663,0.13333333333333333,0.2833333333333333,0.016666666666666666,0.016666666666666666,0.15,0.03333333333333333,0.36666666666666664
337,NERC,Furniture and Related Products,502.0,7913.0,69451.4,8622.0,1.2,5072.0,0.0,,,5169.0,5072.0,0.0248903785488959,126.0,0.027079365079365078,0.14545454545454548,0.3090909090909091,0.018181818181818184,0.009090909090909092,0.16363636363636364,0.02727272727272728,0.3272727272727272
337,NORTHEAST,Furniture and Related Products,,,69451.4,,1.2,422.0,0.0,0.0,0.0,422.0,5072.0,0.0248903785488959,126.0,0.027079365079365078,0.14545454545454548,0.3090909090909091,0.018181818181818184,0.009090909090909092,0.16363636363636364,0.02727272727272728,0.3272727272727272
337,MIDWEST,Furniture and Related Products,,,69451.4,,1.2,1634.0,0.0,,0.0,1728.0,5072.0,0.0248903785488959,126.0,0.027079365079365078,0.14545454545454548,0.3090909090909091,0.018181818181818184,0.009090909090909092,0.16363636363636364,0.02727272727272728,0.3272727272727272
337,SOUTH,Furniture and Related Products,,,69451.4,,1.2,2281.0,0.0,4.0,,2283.0,5072.0,0.0248903785488959,126.0,0.027079365079365078,0.14545454545454548,0.3090909090909091,0.018181818181818184,0.009090909090909092,0.16363636363636364,0.02727272727272728,0.3272727272727272
337,WEST,Furniture and Related Products,,,69451.4,,1.2,735.0,0.0,0.0,0.0,735.0,5072.0,0.0248903785488959,126.0,0.027079365079365078,0.14545454545454548,0.3090909090909091,0.018181818181818184,0.009090909090909092,0.16363636363636364,0.02727272727272728,0.3272727272727272
339,NERC,Miscellaneous,349.0,13001.0,29657.3,12600.0,1.0,8430.0,0.0,440.0,,8863.0,8466.0,0.02297236002834869,126.0,0.027079365079365078,,,,,,,
339,NORTHEAST,Miscellaneous,,,29657.3,,1.0,1778.0,0.0,,0.0,2127.0,8466.0,0.02297236002834869,126.0,0.027079365079365078,,,,,,,
